TEIL;LAGER;COUNT;MIN;MAX;AVG
F;28885;90;306000;2722000;462144.44
F;28890;90;306000;1769000;382033.33
F;28898;95;309000;2965000;529852.63
C;28900;100;619000;2613000;786470.00
C;28905;98;612000;2259000;759775.51
H;28918;88;348000;2367000;479920.45
C;28921;100;615000;2006000;708360.00
H;28923;90;348000;2726000;558366.67
H;28928;95;348000;2875000;617957.89
H;28929;92;348000;2266000;594141.30
H;28932;90;347000;2605000;547722.22
H;28938;91;350000;1759000;473406.59
H;28942;93;351000;2123000;567752.69
K;28945;100;374000;1153000;542480.00
K;28946;99;381000;2829000;946161.62
K;28952;103;386000;2821000;668961.17
K;28956;113;409000;2478000;786946.90
K;28961;105;370000;2117000;548171.43
K;28964;104;367000;3339000;678528.85
K;28966;100;395000;3029000;607250.00
I;28996;83;633000;2312000;829313.25
I;29000;80;286000;2088000;415925.00
I;29002;81;646000;2051000;840888.89
I;29005;80;303000;1344000;413012.50
B;29018;102;341000;1925000;486970.59
B;29022;103;333000;2695000;688718.45
B;29029;101;327000;3145000;585584.16
E;29036;100;347000;1739000;488280.00
E;29040;99;346000;1325000;562101.01
E;29044;98;352000;1757000;515571.43
E;29051;99;344000;2627000;638828.28
D;29054;99;334000;2516000;550606.06
D;29059;101;334000;2188000;581039.60
D;29063;101;333000;2456000;531702.97
D;29067;100;332000;3396000;529640.00
D;29068;102;334000;3063000;710156.86
K;29194;102;370000;2114000;730568.63
K;29202;101;377000;2801000;550821.78
K;29206;101;370000;2442000;533940.59
K;29207;99;357000;2490000;547656.57
K;29211;100;370000;1853000;571760.00
K;29227;100;370000;3182000;510030.00
F;29229;91;305000;2467000;415439.56
F;29231;89;302000;836000;374606.74
F;29233;90;305000;2463000;437822.22
D;29251;102;328000;1822000;586196.08
D;29256;100;335000;1419000;462770.00
D;29258;100;327000;2863000;616730.00
B;29263;98;334000;2209000;581040.82
B;29266;101;360000;2543000;589633.66
I;29311;78;300000;1849000;503512.82
I;29320;80;301000;966000;393750.00
I;29321;81;301000;2867000;901888.89
I;29326;77;304000;2654000;542636.36
I;29327;82;304000;1093000;390329.27
I;29331;80;301000;2251000;473212.50
E;29339;100;364000;2767000;571400.00
E;29345;99;362000;1915000;560646.46
E;29350;98;365000;1730000;501806.12
E;29355;98;345000;3509000;571275.51
C;29358;101;615000;2664000;740188.12
C;29359;101;615000;2383000;786128.71
C;29363;100;615000;2605000;773040.00
F;29367;88;306000;2595000;473056.82
F;29370;91;305000;1946000;474648.35
F;29372;90;302000;1751000;362722.22
F;29375;88;302000;1369000;420329.55
C;29379;100;618000;1698000;702270.00
C;29384;100;615000;2912000;789740.00
C;29388;101;617000;2066000;745594.06
C;29393;100;621000;1213000;689860.00
G;29398;90;300000;1868000;383255.56
G;29404;90;299000;2572000;436911.11
G;29409;90;299000;3157000;458344.44
G;29413;88;303000;2304000;511329.55
C;29425;102;614000;2349000;757627.45
C;29432;98;613000;1375000;740908.16
C;29434;100;614000;3383000;798770.00
G;29435;90;309000;1577000;519100.00
F;29440;90;301000;1398000;395011.11
F;29444;90;303000;1307000;448611.11
H;29452;90;355000;1964000;512500.00
H;29455;91;365000;2649000;647615.38
H;29461;86;349000;1710000;532348.84
H;29466;90;350000;2643000;523477.78
B;29475;99;336000;2318000;509191.92
B;29479;101;335000;1472000;476148.51
B;29491;102;352000;1506000;493794.12
B;29492;100;332000;2096000;593890.00
D;29506;98;334000;2207000;522897.96
D;29509;101;334000;2362000;609524.75
D;29513;97;335000;2677000;675649.48
I;29527;82;627000;2186000;843792.68
I;29532;80;300000;3009000;438525.00
I;29537;80;304000;1948000;421487.50
I;29539;83;301000;2754000;495457.83
I;29541;80;635000;2389000;866762.50
C;29553;101;616000;2159000;746445.54
C;29557;102;612000;3102000;862343.14
C;29558;99;622000;2047000;784848.48
C;29560;100;621000;2387000;793580.00
D;29564;101;336000;2610000;581544.55
D;29568;98;335000;2237000;506204.08
D;29576;102;333000;3019000;521892.16
E;29611;100;367000;1898000;500020.00
E;29617;100;333000;1595000;457580.00
E;29619;100;336000;3153000;516280.00
E;29625;100;333000;3066000;526120.00
E;29628;100;345000;2572000;549840.00
K;29654;103;381000;2552000;644019.42
K;29667;93;386000;3463000;865387.10
K;29669;100;382000;2634000;612670.00
K;29678;98;367000;3300000;743744.90
K;29680;100;390000;3459000;702800.00
K;29684;96;373000;2115000;572520.83
K;29693;101;375000;3298000;642702.97
K;29696;100;375000;3498000;762170.00
C;29706;100;616000;3313000;776660.00
C;29707;102;620000;2647000;843039.22
C;29709;100;622000;2157000;724420.00
G;29711;91;304000;2415000;458175.82
G;29716;90;303000;2543000;420822.22
G;29718;90;302000;3371000;449300.00
G;29720;90;304000;2047000;507533.33
C;29724;100;625000;3498000;778570.00
C;29726;100;624000;2417000;747220.00
C;29729;100;621000;3551000;819330.00
C;29732;100;625000;2077000;783410.00
H;29735;91;361000;2650000;551000.00
H;29743;110;340000;2861000;635881.82
H;29745;88;352000;2240000;611250.00
H;29749;92;345000;2093000;569641.30
K;29757;98;377000;1861000;653122.45
K;29762;93;383000;2461000;636258.06
K;29773;90;405000;3234000;577633.33
K;29776;99;391000;3064000;816666.67
C;29787;100;616000;3302000;799150.00
C;29788;99;624000;2165000;781595.96
C;29792;100;615000;2337000;765950.00
F;29795;90;301000;2253000;475800.00
F;29801;90;304000;1483000;426711.11
F;29806;85;300000;1209000;427682.35
F;29812;90;302000;3295000;485044.44
F;29814;91;304000;1027000;410527.47
B;29820;100;337000;1090000;458040.00
B;29825;94;345000;1642000;595808.51
B;29829;100;334000;3470000;544300.00
B;29832;101;335000;2664000;571732.67
D;29839;98;327000;3495000;676714.29
D;29847;104;326000;2158000;509663.46
D;29851;102;339000;1395000;504107.84
D;29858;104;335000;3356000;743980.77
D;29864;98;321000;2178000;539051.02
D;29865;101;345000;2737000;577405.94
D;29872;102;338000;3539000;704715.69
E;29936;96;365000;3108000;701000.00
I;29957;84;637000;3087000;853154.76
I;29960;80;301000;2291000;544250.00
I;29963;80;300000;2578000;509900.00
I;29968;83;627000;3217000;984578.31
I;29972;73;645000;2238000;902945.21
I;29976;72;295000;1711000;622611.11
H;30011;90;349000;2363000;658433.33
H;30016;79;367000;1567000;583215.19
H;30021;81;371000;3312000;680851.85
C;30029;102;627000;3561000;851715.69
C;30032;97;635000;1698000;771670.10
C;30034;93;616000;2121000;872666.67
H;30044;91;366000;2858000;608461.54
H;30050;84;327000;1757000;579714.29
G;30055;90;302000;1581000;413233.33
H;30058;91;322000;2920000;551263.74
G;30060;88;300000;1277000;503579.55
G;30066;90;302000;2402000;434600.00
G;30071;90;305000;2115000;424477.78
G;30073;87;303000;2491000;480701.15
C;30077;100;623000;1426000;705030.00
C;30079;100;622000;3582000;812490.00
C;30083;93;551000;3431000;1056096.77
C;30086;100;626000;3565000;891180.00
C;30092;98;623000;2394000;776408.16
F;30096;90;301000;2325000;468622.22
F;30099;88;302000;2574000;442022.73
F;30104;91;304000;2610000;560912.09
F;30107;90;305000;2370000;451077.78
B;30111;98;330000;1743000;541867.35
B;30114;102;337000;3040000;605107.84
B;30115;101;323000;3052000;632346.53
B;30118;104;333000;3577000;641903.85
B;30119;96;326000;2705000;521604.17
E;30120;98;373000;2795000;590673.47
E;30124;100;376000;1848000;515110.00
E;30125;98;349000;2484000;534520.41
I;30135;78;642000;3418000;905935.90
I;30138;81;298000;2879000;481753.09
I;30140;80;302000;905000;383425.00
I;30148;81;631000;3161000;905283.95
I;30150;80;300000;1931000;427037.50
E;30224;98;336000;2386000;531714.29
E;30227;100;335000;2547000;597790.00
E;30232;100;332000;1814000;471550.00
E;30238;98;334000;868000;451010.20
E;30245;100;319000;2722000;490380.00
E;30248;98;331000;3088000;568193.88
E;30254;98;315000;1694000;479000.00
K;30262;98;374000;1807000;548795.92
K;30267;98;374000;1043000;491693.88
K;30270;100;364000;2625000;570890.00
K;30278;97;405000;1895000;618793.81
K;30283;104;374000;2641000;660673.08
K;30288;95;377000;3428000;738284.21
K;30292;92;376000;2572000;672695.65
K;30300;98;376000;2057000;597163.27
F;30301;88;301000;892000;395931.82
F;30307;90;302000;2976000;409266.67
F;30313;89;303000;2959000;555382.02
F;30316;90;305000;2460000;441133.33
F;30321;89;303000;2151000;521415.73
F;30323;90;307000;1611000;435344.44
F;30326;90;304000;3470000;477400.00
H;30332;90;317000;978000;448333.33
H;30336;91;320000;3055000;516000.00
H;30337;89;317000;2387000;543157.30
H;30341;88;320000;3158000;533431.82
H;30346;91;318000;3074000;575846.15
H;30349;88;320000;2158000;454852.27
H;30354;91;314000;3099000;572120.88
H;30357;90;319000;1819000;459644.44
D;30366;101;327000;2849000;657495.05
D;30371;100;329000;2122000;523900.00
D;30377;104;333000;3147000;627413.46
D;30384;99;326000;2611000;491303.03
B;30398;99;335000;2425000;684828.28
B;30399;101;328000;1621000;506386.14
B;30407;101;326000;3351000;559059.41
B;30410;96;262000;2561000;603968.75
D;30412;103;320000;2981000;580699.03
D;30417;102;324000;1453000;452343.14
D;30420;101;331000;3431000;540702.97
D;30424;101;331000;3238000;610851.49
I;30430;81;393000;1718000;625456.79
I;30440;78;300000;2224000;487653.85
I;30441;79;301000;2652000;791050.63
I;30446;80;396000;2481000;572550.00
I;30448;80;299000;2156000;424475.00
I;30452;80;302000;633000;359200.00
I;30453;80;299000;2159000;448137.50
F;30461;88;303000;1092000;411068.18
F;30464;90;302000;1272000;404355.56
F;30467;90;304000;1888000;500511.11
C;30475;100;372000;2094000;632260.00
C;30476;100;621000;3479000;795650.00
C;30480;97;623000;1981000;705886.60
C;30482;100;370000;3311000;476460.00
G;30486;89;291000;845000;367797.75
G;30488;90;294000;1448000;417288.89
G;30490;88;292000;1665000;428784.09
G;30497;91;293000;2765000;430362.64
G;30499;90;289000;2612000;421944.44
G;30503;90;292000;2289000;488666.67
G;30508;90;292000;1392000;392966.67
H;30512;89;319000;1080000;425606.74
H;30515;90;321000;1982000;534588.89
H;30519;90;318000;2616000;532844.44
H;30524;93;318000;2929000;702849.46
C;30602;101;375000;2674000;631435.64
C;30605;98;375000;2102000;458989.80
C;30609;100;617000;2190000;773250.00
C;30612;100;385000;2705000;520180.00
F;30616;90;313000;1884000;503333.33
F;30624;88;362000;2030000;519613.64
F;30656;90;356000;2760000;508955.56
F;30658;88;295000;2013000;504977.27
C;30668;100;371000;2970000;549080.00
C;30670;100;621000;2690000;865540.00
C;30678;99;311000;1888000;560464.65
C;30680;99;373000;3219000;548515.15
B;30689;103;334000;2535000;543504.85
B;30697;101;331000;3041000;553267.33
B;30700;101;328000;3041000;582405.94
B;30702;102;332000;2546000;530137.25
B;30708;103;329000;2870000;567126.21
B;30709;103;328000;2476000;605174.76
E;30774;98;335000;2042000;553918.37
E;30777;100;334000;2701000;497120.00
E;30781;102;332000;3535000;535607.84
E;30787;103;335000;3351000;585815.53
E;30789;100;336000;2710000;500420.00
D;30792;101;330000;2795000;530346.53
D;30796;100;330000;1940000;468190.00
D;30800;96;346000;2799000;673593.75
C;30806;100;374000;2276000;522060.00
C;30808;97;336000;1436000;536206.19
C;30816;96;373000;2433000;494968.75
G;30821;90;290000;2674000;449711.11
G;30824;90;291000;2459000;492833.33
C;30826;98;371000;1073000;483948.98
G;30831;92;293000;920000;392891.30
G;30834;91;290000;1643000;489626.37
C;30835;100;374000;2023000;491360.00
C;30839;98;309000;2340000;530030.61
C;30843;99;355000;2072000;538353.54
C;30844;98;375000;1373000;455785.71
C;30846;100;369000;3370000;549750.00
C;30851;100;372000;3266000;578830.00
C;30853;98;373000;2452000;556734.69
C;30856;100;373000;3150000;510520.00
C;30861;99;386000;2858000;564707.07
I;30904;79;299000;1422000;421139.24
I;30909;80;301000;2715000;508787.50
I;30912;80;309000;1530000;427600.00
I;30914;80;309000;1983000;590875.00
I;30916;77;402000;1217000;494558.44
I;30921;81;304000;1558000;469283.95
I;30922;80;397000;1802000;533250.00
I;30923;80;403000;2434000;661637.50
I;30925;78;409000;2098000;501666.67
B;30928;101;328000;3419000;514861.39
B;30930;101;328000;3327000;517821.78
B;30933;96;326000;1290000;524916.67
B;30935;102;328000;1542000;554431.37
D;30939;100;325000;1812000;466690.00
D;30942;104;331000;2996000;577048.08
D;30944;107;318000;2610000;610317.76
D;30952;103;323000;2971000;568854.37
C;30954;98;379000;1602000;508438.78
C;30960;100;380000;3490000;582220.00
C;30961;100;384000;769000;447390.00
H;30969;84;323000;1872000;488095.24
H;30975;88;321000;2868000;494852.27
H;30980;91;322000;1695000;475450.55
H;30984;94;315000;2816000;569904.26
C;30988;100;391000;2515000;556060.00
C;30998;100;373000;2249000;508890.00
C;31001;99;373000;1629000;451949.49
C;31002;100;373000;1606000;441870.00
G;31007;89;297000;1619000;479786.52
G;31010;93;291000;2498000;426430.11
G;31016;90;290000;1466000;444244.44
G;31019;90;298000;2322000;537444.44
I;31027;77;300000;2815000;460974.03
I;31033;78;297000;1885000;572743.59
I;31039;81;302000;2731000;592592.59
I;31042;80;435000;2090000;584850.00
I;31043;79;414000;2525000;582164.56
I;31047;77;433000;2670000;617207.79
I;31049;80;423000;2986000;665987.50
I;31052;80;414000;2483000;637050.00
I;31056;79;301000;931000;399392.41
I;31058;78;427000;2185000;698782.05
B;31063;99;330000;1232000;468858.59
B;31066;98;327000;3298000;660020.41
B;31069;101;332000;3491000;617554.46
B;31072;100;333000;3198000;622320.00
K;31083;97;377000;3558000;722865.98
K;31085;100;375000;3343000;632990.00
K;31088;92;373000;3196000;810826.09
K;31099;96;373000;2699000;749583.33
K;31103;96;373000;1809000;563229.17
K;31107;99;378000;3277000;853777.78
K;31111;100;378000;1889000;572030.00
K;31118;102;405000;3040000;673637.25
D;31246;106;330000;3199000;588811.32
D;31248;98;342000;2186000;504561.22
D;31252;98;326000;2370000;490581.63
D;31254;98;347000;1982000;461020.41
H;31263;91;330000;2751000;590230.77
H;31267;90;331000;2856000;546688.89
H;31272;90;322000;2520000;482566.67
H;31279;87;322000;2283000;523701.15
H;31281;90;323000;2066000;467222.22
H;31289;88;328000;1694000;518170.45
C;31294;99;321000;1448000;536979.80
C;31297;98;381000;3409000;549346.94
C;31298;98;384000;1798000;503316.33
C;31300;99;386000;2476000;544080.81
F;31303;90;308000;3136000;437422.22
F;31306;90;356000;3176000;555233.33
F;31318;90;287000;2298000;492388.89
F;31319;88;290000;2312000;517625.00
F;31321;89;305000;1220000;454168.54
F;31326;91;286000;873000;413406.59
F;31330;85;303000;1563000;533905.88
F;31335;91;288000;2706000;492417.58
F;31337;90;310000;1573000;425611.11
C;31340;100;379000;2219000;527330.00
C;31346;100;390000;2892000;602340.00
C;31348;98;379000;2886000;568540.82
G;31353;91;298000;2573000;675571.43
G;31357;68;47000;680000;375352.94
G;31367;85;297000;2173000;502882.35
H;31375;89;330000;1902000;510415.73
H;31378;90;326000;3029000;527955.56
H;31382;95;314000;2618000;673852.63
H;31384;88;324000;1205000;437340.91
E;31388;98;331000;3309000;532724.49
E;31392;100;343000;1812000;491510.00
E;31394;100;340000;1778000;511240.00
E;31395;98;343000;2684000;514418.37
E;31405;98;339000;3320000;551061.22
B;31411;100;314000;2359000;518590.00
B;31414;99;242000;2890000;596595.96
B;31419;105;310000;2787000;596095.24
B;31426;97;360000;2400000;606659.79
D;31429;98;332000;2549000;539030.61
D;31435;101;308000;2486000;534732.67
G;31438;89;297000;1327000;414404.49
G;31447;88;294000;2614000;503215.91
G;31448;89;328000;2444000;575898.88
G;31451;87;291000;1964000;558172.41
G;31454;91;298000;3058000;466527.47
G;31459;90;293000;2406000;545155.56
G;31464;85;223000;2333000;540847.06
E;31467;100;342000;2519000;497390.00
E;31469;100;338000;1981000;504500.00
E;31474;100;337000;3315000;604620.00
E;31478;98;338000;2153000;605336.73
E;31481;95;356000;1398000;469842.11
E;31484;98;342000;3254000;529214.29
C;31489;100;387000;1562000;527900.00
C;31491;100;382000;3130000;554850.00
C;31494;100;392000;2754000;554630.00
C;31496;100;382000;1866000;533890.00
C;31499;100;385000;3030000;545770.00
K;31510;97;376000;2765000;600340.21
K;31517;99;396000;2953000;646313.13
K;31521;98;391000;2611000;679153.06
C;31525;100;391000;1984000;583360.00
C;31528;99;386000;946000;456585.86
D;31533;98;319000;1998000;511438.78
K;31534;42;377000;1268000;573904.76
D;31535;103;318000;2184000;462533.98
D;31538;100;308000;3129000;475390.00
E;31568;100;293000;2092000;504660.00
E;31570;102;340000;2682000;662235.29
D;31574;97;310000;1462000;499958.76
D;31582;101;331000;2360000;591485.15
D;31587;97;300000;1688000;452907.22
D;31589;109;279000;3336000;540587.16
H;31613;86;327000;1591000;437604.65
H;31622;90;328000;1916000;448311.11
H;31629;89;311000;2720000;543235.96
H;31633;90;312000;2770000;492866.67
H;31637;90;319000;1879000;446633.33
H;31641;90;311000;854000;394000.00
F;31643;90;274000;1483000;435100.00
F;31651;88;271000;2357000;583022.73
F;31659;90;290000;3203000;565822.22
F;31660;94;291000;2649000;499797.87
F;31663;88;274000;2066000;508613.64
F;31665;90;284000;2484000;426188.89
K;31669;100;323000;3573000;492590.00
K;31671;97;354000;3436000;476268.04
K;31673;100;329000;3394000;769330.00
K;31676;97;351000;2889000;584350.52
K;31680;100;336000;3469000;563740.00
K;31682;100;332000;2628000;509430.00
C;31686;100;389000;1955000;505750.00
C;31689;99;381000;2999000;572242.42
C;31691;98;384000;1625000;502571.43
C;31696;100;390000;1822000;547110.00
C;31698;98;387000;1625000;507744.90
G;31702;90;285000;1893000;576455.56
G;31711;90;292000;1877000;480633.33
G;31713;88;329000;3070000;493363.64
C;31718;100;394000;2516000;523010.00
C;31722;102;383000;3013000;595333.33
C;31723;100;385000;2605000;614770.00
C;31726;100;385000;1795000;506380.00
C;31729;100;386000;2301000;513230.00
B;31785;99;330000;3549000;599404.04
B;31789;105;315000;2739000;570076.19
B;31793;108;318000;2252000;629342.59
B;31797;103;285000;2158000;472368.93
B;31805;96;310000;2656000;564593.75
B;31809;102;297000;2670000;648725.49
B;31819;100;291000;2297000;481610.00
B;31823;94;297000;2863000;503606.38
I;31857;80;413000;3153000;574650.00
I;31861;76;414000;1220000;546947.37
I;31865;80;297000;2601000;559000.00
I;31866;80;300000;2101000;444087.50
I;31872;82;415000;1800000;560731.71
I;31879;80;414000;3296000;617550.00
E;31899;97;299000;2875000;492432.99
E;31902;101;312000;2618000;446900.99
E;31906;101;314000;2993000;465049.50
E;31911;98;308000;1576000;429255.10
F;31932;87;274000;2887000;622712.64
F;31934;90;276000;3126000;394700.00
F;31937;90;280000;1287000;473100.00
F;31941;88;274000;1737000;449863.64
F;31943;91;276000;2860000;556296.70
D;31958;100;316000;2805000;613260.00
D;31965;94;304000;3012000;581702.13
D;31966;102;285000;3594000;609098.04
D;31970;100;294000;2546000;516560.00
C;31975;100;385000;3075000;552210.00
C;31977;99;386000;2884000;558363.64
C;31978;101;396000;1915000;515237.62
C;31986;101;393000;2298000;490861.39
G;31989;90;276000;1387000;443555.56
G;31993;90;275000;2263000;474744.44
G;31998;90;275000;2803000;415377.78
G;32001;90;257000;1718000;457933.33
G;32006;90;277000;2649000;469811.11
G;32009;88;281000;2595000;492988.64
G;32016;92;279000;3002000;487945.65
G;32019;90;275000;1449000;388377.78
G;32021;90;286000;2376000;456722.22
C;32027;101;392000;1337000;464891.09
C;32028;101;407000;2038000;552386.14
C;32034;100;392000;2619000;547120.00
C;32036;100;394000;3174000;566330.00
K;32043;96;331000;2942000;484854.17
K;32047;97;327000;3161000;546216.49
K;32054;96;332000;1649000;555333.33
K;32060;94;303000;1169000;504053.19
K;32063;99;329000;3067000;584626.26
H;32074;90;326000;2723000;570722.22
H;32076;89;304000;2935000;500337.08
F;32088;90;269000;3042000;485966.67
F;32090;88;272000;1304000;421738.64
F;32094;90;246000;2805000;406455.56
B;32107;102;275000;3257000;544509.80
B;32111;103;294000;3317000;651834.95
B;32113;101;285000;3439000;720435.64
B;32117;101;291000;2135000;507623.76
B;32121;99;280000;2566000;560151.52
E;32168;98;315000;2211000;432122.45
E;32170;98;304000;2779000;551306.12
E;32175;98;339000;1588000;509897.96
E;32179;100;340000;2700000;506410.00
E;32182;102;281000;2037000;418892.16
E;32187;98;300000;1312000;421418.37
E;32189;96;316000;1999000;474114.58
E;32193;102;297000;2635000;547068.63
E;32195;98;341000;1659000;488765.31
E;32201;100;313000;3205000;461710.00
I;32272;81;302000;2267000;443913.58
I;32278;83;406000;2560000;667072.29
I;32282;78;392000;3160000;595641.03
I;32285;75;436000;2439000;683146.67
I;32289;81;435000;2088000;597654.32
I;32291;79;417000;1293000;532518.99
I;32294;81;437000;2491000;636185.19
I;32295;80;422000;3504000;597100.00
D;32301;100;303000;2680000;488430.00
D;32307;100;320000;2633000;491920.00
D;32313;98;295000;2936000;527846.94
F;32318;90;288000;2633000;556766.67
F;32323;88;273000;1136000;394965.91
F;32327;91;272000;3598000;731373.63
C;32331;100;401000;2854000;557390.00
C;32332;101;394000;2024000;638841.58
C;32339;98;407000;1372000;510918.37
C;32341;98;394000;2225000;512408.16
C;32344;100;413000;2832000;530170.00
C;32347;100;412000;2346000;537910.00
C;32349;100;420000;2359000;522060.00
C;32351;98;405000;2563000;557918.37
H;32354;90;305000;2230000;482111.11
H;32358;89;311000;1911000;496460.67
H;32369;90;302000;2519000;482355.56
H;32371;90;309000;1708000;450988.89
H;32377;88;283000;2726000;494818.18
H;32380;90;311000;2747000;466733.33
H;32385;90;323000;1678000;435333.33
C;32389;102;390000;1774000;536225.49
C;32392;142;411000;3248000;519795.77
C;32393;96;411000;2258000;561572.92
C;32396;55;406000;1879000;590181.82
C;32400;100;412000;1116000;483780.00
