TEIL;FA;COUNT;MIN;MAX;AVG;MIN_O;MAX_O;AVG_O
B;7343;100;289000;1604000;375540.00;1;1;1.00
B;6695;102;270000;2420000;506294.12;1;2;1.02
B;6860;100;289000;2336000;472010.00;1;1;1.00
B;5872;102;347000;1506000;499245.10;1;2;1.02
B;7345;101;289000;2145000;440485.15;1;2;1.03
B;9128;105;291000;3094000;515790.48;1;3;1.09
B;6774;107;292000;3170000;627065.42;1;2;1.06
B;9326;100;294000;3471000;601180.00;1;1;1.00
B;6693;99;291000;1656000;482868.69;1;1;1.00
B;7594;101;303000;2700000;441217.82;1;2;1.01
B;8115;100;287000;2771000;443740.00;1;1;1.00
B;5946;101;335000;3470000;508811.88;1;2;1.02
B;5793;97;82000;3337000;565659.79;1;1;1.00
B;6022;97;345000;2760000;643226.80;1;2;1.01
B;8567;100;209000;1616000;392900.00;1;2;1.01
B;5869;100;333000;2437000;631020.00;1;2;1.01
B;9419;99;288000;2823000;495949.49;1;2;1.02
B;9223;100;297000;2497000;448220.00;1;2;1.02
B;8743;100;288000;1666000;410460.00;1;1;1.00
B;6322;96;297000;1171000;468822.92;1;1;1.00
B;8663;98;304000;2718000;520112.24;1;1;1.00
B;9050;109;300000;3591000;639743.12;1;2;1.09
B;7188;98;290000;2000000;523795.92;1;1;1.00
B;6404;100;378000;2004000;612640.00;1;2;1.02
B;5718;102;330000;2527000;607813.73;1;2;1.02
B;6928;100;286000;2879000;486210.00;1;1;1.00
B;6927;98;288000;1696000;523489.80;1;2;1.03
B;7185;99;292000;3280000;527040.40;1;2;1.01
B;5949;101;337000;3040000;539950.50;1;2;1.01
B;7422;98;294000;1013000;394581.63;1;2;1.01
B;7504;101;292000;2598000;519079.21;1;2;1.01
B;5951;98;337000;1743000;488234.69;1;1;1.00
B;7593;101;303000;3424000;557752.48;1;2;1.01
B;6698;99;305000;2967000;679161.62;1;2;1.01
B;7776;94;293000;1725000;418255.32;1;1;1.00
B;5870;100;334000;2695000;619880.00;1;2;1.02
B;7423;99;285000;2764000;492949.49;1;2;1.01
B;6399;100;291000;2877000;483940.00;1;1;1.00
B;7883;98;293000;892000;361112.24;1;1;1.00
B;8116;101;287000;1753000;442742.57;1;2;1.01
B;8261;102;290000;1931000;483607.84;1;2;1.02
B;8263;96;291000;2078000;484812.50;1;1;1.00
B;8361;100;290000;3430000;454830.00;1;1;1.00
B;7509;95;304000;1396000;454063.16;1;2;1.01
B;8190;101;290000;1316000;384881.19;1;2;1.01
B;6857;98;285000;1403000;436275.51;1;2;1.02
B;8031;97;278000;3169000;588329.90;1;2;1.01
B;8462;102;292000;2205000;527421.57;1;2;1.03
B;8745;101;287000;1953000;424534.65;1;2;1.01
B;6325;103;275000;3439000;704126.21;1;2;1.04
B;7052;101;290000;3167000;501366.34;1;2;1.01
B;8840;100;288000;3128000;549700.00;1;1;1.00
B;8035;101;291000;2566000;574960.40;1;2;1.02
B;9000;100;287000;3366000;414760.00;1;1;1.00
B;5867;103;328000;2379000;743650.49;1;2;1.03
B;9222;98;294000;1222000;417673.47;1;2;1.02
B;5873;103;340000;2664000;555990.29;1;2;1.03
B;9413;98;298000;2044000;504918.37;1;1;1.00
B;9516;101;286000;2258000;479871.29;1;2;1.01
B;9518;100;285000;1127000;371340.00;1;1;1.00
B;6651;101;294000;3462000;543435.64;1;3;1.05
B;7775;97;295000;2914000;432618.56;1;2;1.01
B;8265;100;292000;1239000;404900.00;1;1;1.00
B;7940;100;288000;1249000;387770.00;1;1;1.00
B;8186;99;287000;1912000;495707.07;1;2;1.01
B;8187;100;280000;1614000;428060.00;1;1;1.00
B;9001;96;287000;2157000;446864.58;1;1;1.00
B;8661;100;227000;2618000;478230.00;1;2;1.01
B;7265;100;290000;2109000;444540.00;1;1;1.00
B;8264;101;290000;2438000;456178.22;1;2;1.01
B;6104;104;328000;3419000;605317.31;1;3;1.04
B;9002;99;288000;2659000;428717.17;1;1;1.00
B;9515;99;291000;2961000;534626.26;1;2;1.01
B;9047;101;295000;2766000;498633.66;1;2;1.01
