TEIL;FA;COUNT;MIN;MAX;AVG;
A;008419;87;316;12238;1962.5632
A;008630;85;303;5389;512.8353
A;008631;81;303;5426;754.7284
A;008632;80;261;2632;615.3125
A;008633;73;266;5870;808.4795
A;008996;65;293;4596;647.6462
A;009004;84;297;3940;653.5119
A;009005;80;264;2709;767.0750
A;009006;78;278;26405;1254.5769
A;009182;80;287;7189;524.1750
A;009183;77;281;8160;872.5065
A;009184;80;283;32137;2068.3500
A;009185;80;287;1122;437.9375
A;009280;80;277;5009;674.2500
A;009281;83;242;26564;1158.1205
A;009282;81;253;12881;560.8148
A;009283;79;254;3132;460.9114
A;009284;80;266;14192;881.0625
A;009285;82;265;3214;763.9390
A;009286;80;267;816;361.3125
A;009287;81;270;2775;520.4444
A;009472;80;276;4232;577.9125
A;009473;80;277;2660;572.3750
A;009474;79;273;26265;1491.3038
A;009475;80;271;26295;1974.2875
A;009574;80;310;11312;789.8500
A;009575;80;310;8375;847.7625
A;009576;80;274;19421;827.7375
B;005712;88;346;930131;21865.0795
B;005713;99;328;4228;600.8182
B;005714;100;324;14141;955.1100
B;005715;100;323;28764;1182.9200
B;005716;101;324;26880;1192.4455
B;005717;99;331;1243;426.9798
B;005718;100;330;4537;658.6500
B;005719;100;324;199324;4601.8900
B;005792;99;316;8468;968.0101
B;005793;97;322;3337;571.6289
B;005794;100;328;28824;1115.8300
B;005795;100;339;2709;551.5400
B;005796;100;342;26668;1118.3200
B;005797;100;340;5536;750.7100
B;005798;100;339;4323;625.6200
B;005866;100;365;203288;8663.3600
B;005867;101;332;2512374;25987.7327
B;005868;100;327;3145;620.1800
B;005869;101;333;203808;3454.6832
B;005870;99;334;26977;1228.5253
B;005871;100;352;2209;530.7300
B;005872;100;347;1995;521.3800
B;005873;100;341;11206;765.6300
B;005945;100;334;199376;4559.0700
B;005946;101;335;12686;933.5347
B;005947;100;332;44519;1169.9300
B;005948;99;337;26919;1248.7677
B;005949;100;337;7278;612.4900
B;005950;100;338;4203;540.1500
B;005951;100;337;3863;556.0000
B;005952;100;330;27761;1195.3300
B;006022;100;345;203926;6760.5700
B;006023;100;327;3052;677.1600
B;006024;100;326;3351;546.3700
B;006025;98;326;30738;1268.6224
B;006026;100;330;25592;1330.4600
B;006027;100;333;3086;573.6900
B;006028;100;332;3540;611.1400
B;006029;101;335;306362;4148.3861
B;006100;99;330;33491;1672.2121
B;006101;100;328;3041;522.8200
B;006102;100;329;4105;689.7000
B;006103;100;328;25866;1101.2300
B;006104;100;328;7136;740.3300
B;006105;100;328;3273;446.8200
B;006106;100;336;40209;1083.6100
B;006177;100;327;7560;692.2300
B;006178;101;326;25529;1040.6238
B;006179;98;327;3327;583.9796
B;006180;99;329;9833;1069.0303
B;006181;100;333;27102;1087.7100
B;006182;101;332;29865;1399.5347
B;006183;100;340;16439;1137.9200
B;006247;100;341;4687;716.3200
B;006248;100;330;199648;4664.1100
B;006249;100;310;28745;1909.9200
B;006250;99;316;4177;598.9697
B;006251;101;314;4833;741.1584
B;006252;99;316;62763;1903.8081
B;006320;100;310;4078;730.8700
B;006321;100;297;26615;1436.2100
B;006322;101;297;49164;1206.1584
B;006323;100;285;25778;1127.1200
B;006324;99;289;4524;618.9495
B;006325;100;275;12698;1105.1400
B;006326;100;285;28836;1116.5700
B;006398;101;291;8819;678.9010
B;006399;99;291;2877;485.7374
B;006400;102;280;25760;1031.4510
