Lagerout;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
005504;90;5,05;52,96;9,68366667
005505;90;5,06;28358,9;651,9772222
005506;90;5,02;79,11;12,51622222
005507;90;5,03;54,06;11,68388889
005508;90;5,03;50,98;13,03855556
005509;90;5,02;82,6;11,43266667
005510;90;5;73,77;11,58155556
005511;91;5,02;8305,94;194,5102198
005512;80;5;74,88;11,27175
005513;80;5;90,09;13,297625
005514;80;5,01;8311,23;221,95
005515;80;5,01;54,69;10,553875
005516;80;10,27;87,87;29,252625
005517;80;10,32;8305,69;233,364375
005518;80;10,49;79,89;25,573875
005519;81;10,42;66,87;25,06925926
005520;80;5,04;49,93;10,393375
005521;80;5,01;77,31;13,382125
005522;100;6,11;29197,72;602,9787
005523;100;6,1;93,02;14,4522
005524;101;6,1;80,82;15,40356436
005525;100;6,1;8303,94;180,1462
005526;100;5,97;151;18,5053
005527;100;6,08;9144,44;205,6906
005528;101;6,26;9450;399,8286139
005529;100;10,15;28337,04;588,9635
005530;100;10,16;78,57;19,8546
005531;100;10,17;83,65;21,9062
005532;100;10,15;97,46;23,1196
005533;101;10,14;96,63;27,61346535
005534;100;10,13;8306,59;185,0242
005535;100;10,16;118,1;19,8211
005536;100;10,19;8304,09;189,4137
005537;100;10,18;62,55;19,9798
005538;100;10,21;56,89;20,4748
005539;100;10,12;91,8;22,5777
005540;100;10,15;8311,35;187,7565
005541;100;10,17;75,97;19,4576
005542;100;10,17;74,66;19,1887
005543;101;6,05;28402,65;576,7506931
005544;101;5,28;980192,94;9727,86703
005545;100;5,27;92,25;15,5693
005546;21;5,34;66,46;21,45
005547;101;5,34;8369,77;181,9818812
005548;100;5,92;76,89;14,4473
005549;100;5,87;59,67;11,8884
005550;100;5,8;84,64;14,6726
005551;100;5,36;158,07;18,7763
005552;85;5,27;96,52;18,20035294
005553;100;5,35;65,07;15,7808
005554;100;5,36;70,12;15,6011
005555;100;5,36;83,7;15,1434
005556;100;5,41;8339,69;184,6962
005557;100;5,36;150,48;23,6506
005558;99;5,92;83,87;17,52
005559;101;5,45;29147,79;593,2557426
005560;99;5,87;82,92;16,42343434
005561;100;6,04;86,07;15,6832
005562;100;6,08;8304,88;181,8541
005563;100;5,89;8339,37;182,5237
005564;97;5,5;9227,79;204,1237113
005565;100;6,25;61,6;14,5663
005566;100;6,39;29200,69;600,8781
005567;90;5,89;8305,48;197,219
005568;90;6,04;315,11;25,61266667
005569;90;5,92;8860,5;214,5366667
005570;107;5,4;803,87;112,3093458
005571;90;5,85;87,41;19,33422222
005572;90;6,01;8314,73;197,8571111
005573;90;5,95;70,97;14,46977778
005574;90;5,89;84,49;18,96988889
005575;78;6,07;79,63;18,62833333
005576;90;5,02;47,58;10,92644444
005577;90;5,05;8312,17;198,3653333
005578;90;5,07;83,15;12,91722222
005579;90;5,06;9138,2;216,6042222
005580;90;5,01;48,71;9,392
005581;90;5,01;52,07;13,54266667
005582;90;5;8309,1;207,117
005583;90;5,02;82,94;12,37033333
005584;90;5,08;114,65;13,81088889
005585;90;5,02;55,19;11,758
005586;90;5,06;78,24;13,86266667
005587;90;5;29143,93;660,9431111
005588;90;5,03;71,08;11,417
005589;90;4,99;82,92;11,766
005590;91;5,04;8377,19;289,4468132
005591;90;5,03;74,07;12,11122222
005592;90;5,02;96,51;13,31677778
005593;90;5,04;55,68;12,25288889
005594;79;5,04;8307,49;226,7386076
005595;79;5,04;72,68;10,88113924
005596;80;5,01;85,17;12,46675
005597;80;10,33;63,86;21,75575
005598;80;10,37;91,27;26,872375
005599;79;10,46;8372,86;244,5296203
005600;80;9,83;93,63;24,774125
005601;100;10,14;79,09;20,0793
005602;100;10,15;78,97;21,0943
005603;100;10,17;28317,9;589,4101
005604;100;10,21;93,96;25,1446
005605;100;10,26;71,88;22,5739
005606;100;10,22;8330,98;187,0328
005607;101;10,24;61,78;20,54376238
005608;100;10,23;101,37;24,1629
005609;100;10,24;60,82;19,7739
005610;100;10,21;72,63;22,0235
005611;100;10,23;8322,17;188,2325
005612;100;10,21;99,11;24,7117
005613;100;10,3;53,98;21,4766
005614;100;10,25;67,44;25,3074
005615;100;10,28;63,05;24,047
005616;99;10,27;100;26,7630303
005617;100;6,22;83,94;17,3136
005618;105;6,22;28803,14;573,6827619
005619;100;6,41;111,53;23,7443
005620;100;6,15;85,69;17,1688
005621;100;6,13;8308,91;184,6804
005622;99;6,15;9187,78;213,8969697
005623;100;6,17;9146,42;208,6395
005624;98;6,53;425,26;31,27887755
005625;100;5,34;28362,96;580,3686
005626;100;5,35;255,69;19,0443
005627;101;5,32;100,92;16,2190099
005628;100;5,39;8368,79;183,0109
005629;100;5,37;90,8;16,1759
005630;100;5,78;150,03;15,8095
005631;100;5,37;104,63;14,872
005632;100;5,3;8382,81;183,1439
005633;100;5,34;182,95;17,2368
005634;100;5,33;90,59;13,9201
005635;101;5,76;8371,87;180,6441584
005636;100;5,35;95,96;18,3241
005637;100;5,35;54,55;15,0146
