Lagerout;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
006079;100;6,52;87,74;15,4107
006080;100;7,01;87,51;16,3578
006081;100;6,52;79,06;15,277
006082;100;6,85;8326,07;181,3284
006083;100;7,02;48,11;15,7126
006084;100;6,53;143,64;17,0261
006085;98;4,91;69,22;13,66479592
006086;101;4,51;87,97;12,79881188
006087;101;4,8;8309,2;177,8178218
006088;99;4,98;76,73;12,80484848
006089;100;4,92;88,01;13,4783
006090;100;4,94;95,17;15,5811
006091;100;6,18;8312,95;184,2639
006092;100;4,86;28333,36;580,1215
006093;100;5,05;83,88;13,3441
006094;100;5,05;8321;178,9832
006095;100;4,55;88,96;13,1077
006096;100;4,93;92,07;14,6115
006097;100;5,02;82,26;12,3034
006098;100;5,02;8310,96;179,5504
006099;100;5,07;84,89;17,5548
006100;100;5,09;93,13;18,9969
006101;100;4,98;160,66;15,2512
006102;101;6,16;123,11;20,45683168
006103;100;5,81;375,93;20,2667
006104;100;5,35;28908,86;592,2129
006105;100;4,97;83,95;16,3866
006106;100;5,13;9235,08;200,3701
006107;100;5,13;93,65;12,5226
006108;100;5,12;77,91;18,3399
006109;100;5,13;8301,98;179,335
006110;90;5,57;191,93;22,566
006111;90;5,54;8303,86;198,1813333
006112;90;5,55;53,11;13,20177778
006113;90;5,34;84,64;13,33733333
006114;90;5,34;72,96;13,32788889
006115;90;5,23;84,66;15,34111111
006116;90;5,59;8307,04;197,6463333
006117;90;5,27;84,82;13,41566667
006118;90;4,41;28301,7;640,3314444
006119;90;4,39;56,18;11,70966667
006120;90;4,42;76,95;10,98344444
006121;90;4,4;72,82;9,88522222
006122;90;4,47;87,77;10,79622222
006123;90;4,4;8300,93;194,6474444
006124;90;4,42;63,3;11,03277778
006125;90;4,28;45,7;11,11522222
006126;90;4,51;52,56;12,76155556
006127;90;4,42;58,05;10,41233333
006128;90;4,48;8701,28;212,4386667
006129;90;4,48;109,33;13,25577778
006130;90;4,51;76,87;11,93311111
006131;90;4,43;85,12;12,21766667
006132;90;4,5;91,05;12,68277778
006133;90;4,42;88,2;11,58966667
006134;90;4,49;8310,21;196,1923333
006135;80;6,94;84,94;19,47225
006136;80;7,16;98;17,562875
006137;80;7,15;73,02;17,08125
006138;80;6,92;8294,73;222,593
006139;80;7,15;87,59;14,77225
006140;80;7,12;79,83;15,195
006141;80;4,95;49,79;10,662875
006142;80;5,02;78,87;12,644375
006143;80;4,94;87,68;11,294875
006144;80;4,67;8302,05;218,97225
006145;80;5,04;50,62;13,107125
006146;100;5,56;39204,05;800,6996
006147;100;5,53;193,03;18,6845
006148;100;5,5;9203,89;199,6688
006149;99;5,54;9263,13;205,3927273
006150;100;5,76;83,06;16,5271
006151;100;5,91;8314,82;197,5561
006152;100;6,98;95,58;15,6578
006153;100;6,89;71,16;16,6382
006154;100;6,99;8311,67;179,6119
006155;100;6,99;72,14;13,8684
006156;100;7,01;95,84;15,9793
006157;101;7,02;90,88;16,24188119
006158;100;7,03;8309,21;181,2655
006159;100;7,03;63,06;16,118
006160;100;6,92;80,08;17,7206
006161;100;6,92;28331,32;582,6569
006162;100;6,98;149,23;14,0963
006163;100;6,86;63,31;17,5456
006164;100;7,02;87,84;14,6989
006165;100;7,03;108,65;18,4344
006166;100;7,05;96,92;16,9573
006167;100;7,03;93,45;19,2544
006168;100;5,07;28366,85;579,4231
006169;100;5,03;60,72;13,9445
006170;101;4,54;88,26;14,70564356
006171;100;4,44;8308,63;180,9983
006172;99;4,54;69,83;12,98717172
006173;100;4,55;88,56;12,278
006174;100;5;83,24;13,6258
006175;100;4,99;93,93;22,0322
006176;98;5,03;259,07;19,45704082
006177;100;4,42;8305,47;183,2339
006178;100;4,51;79,34;13,2946
006179;100;4,42;84,44;12,009
006180;100;5,14;50,21;13,7969
006181;100;4,75;81,65;14,4526
006182;100;5,14;74,53;12,1447
006183;100;4,43;28902,15;1067,82
006184;99;5,24;8314,89;265,5212121
006185;100;5,38;146,8;24,4637
006186;100;5,15;29298,76;604,4448
006187;100;5,15;58,58;11,4261
006188;90;5,12;74,95;13,63944444
006189;90;5,3;84,13;14,85911111
006190;90;5,96;9199,64;217,1996667
006191;90;5,36;200,34;18,65211111
006192;101;5,39;289,46;35,52762376
006193;90;5,19;8384,14;198,2287778
006194;89;4,96;86,91;16,16393258
006195;90;4,79;155,74;16,98044444
006196;90;4,43;110,03;16,47411111
006197;90;4,31;90,78;14,04
006198;90;4,42;44,9;11,51344444
006199;90;4,41;77,17;12,65422222
006200;90;4,44;91,15;16,55411111
006201;90;4,51;8314,86;198,8722222
006202;90;4,47;114,46;14,64322222
006203;90;4,48;58,26;12,44055556
006204;90;4,47;68,5;14,13777778
006205;90;4,48;9140,91;217,5664444
006206;91;4,5;81,68;13,27692308
006207;90;4,45;28371,13;655,0207778
006208;90;4,19;84,58;15,52444444
006209;90;4,5;8383,18;203,1451111
006210;88;4,52;177,81;20,01045455
006211;90;4,44;87,03;17,75555556
006212;80;4,95;8392,33;223,137375
006213;80;5,02;98,17;15,820375
006214;80;4,54;52,96;11,946
006215;80;4,93;49,64;13,97925
006216;79;5,04;85,14;13,30949367
006217;81;7,26;8436,4;119,9065432
006218;80;7,25;96,09;18,56325
006219;80;4,63;191,54;15,9665
006220;99;5,39;29220,09;610,5018182
006221;99;5,29;511,89;25,9540404
006222;100;5,35;107,86;18,5528
006223;100;5,79;9180,84;201,0024
006224;100;5,35;19188,62;399,5362
006225;100;5,34;9302,58;204,4451
006226;100;5,51;90,98;20,0802
006227;100;7,1;99,8;17,1741
006228;100;7,01;92,94;17,2905
006229;100;7,08;152,1;15,5936
006230;100;7;82,4;14,484
006231;100;7,11;201,09;19,1326
006232;100;7,11;8396,91;186,2454
006233;101;7,13;270,14;22,83574257
006234;100;7,05;84,39;16,1619
006235;102;7,02;28379,47;577,9913726
006236;100;7,09;91,99;14,5708
006237;100;7,1;174;19,4099
006238;101;7,08;157,85;19,36009901
006239;100;7,13;86,58;15,3811
006240;100;7,37;8351,04;183,7591
006241;100;7,35;162,17;15,9606
006242;101;7,24;72,13;17,53158416
006243;100;4,53;58,83;13,8223
006244;100;4,42;8297,12;184,7871
006245;100;3,78;100,13;14,0861
006246;100;4,51;28488,95;596,8399
006247;99;4,55;8368,78;103,6917172
006248;100;4,51;9143,81;107,6247
006249;100;4,46;28692,83;319,1242
006250;100;4,95;28609,78;587,8881
006251;99;4,38;183,64;22,1540404
006252;100;4,39;88,01;13,6748
006253;101;4,39;8393,96;181,2715842
006254;100;4,41;117,21;20,1695
006255;100;4,41;86,84;14,2769
006256;100;4,49;8327,52;180,4522
006257;100;4,42;496,8;36,0613
006258;100;4,44;112,26;13,592
006259;100;5,17;84,84;15,5104
006260;100;5,33;8309,96;177,7724
006261;100;4,88;55,13;13,535
006262;90;5,34;98,58;15,62966667
006263;90;5,95;95,93;17,72722222
006264;90;5,36;8313,02;195,9268889
006265;90;5,06;86,5;18,68488889
006266;90;4,43;28905,72;655,6383333
006267;90;4,45;88;13,556
006268;90;4,38;90,94;18,15688889
006269;90;4,48;146,17;14,33677778
006270;90;4,49;97,19;18,85422222
006271;90;4,55;83,91;12,75166667
006272;90;4,46;8313,86;200,0711111
006273;79;4,52;67,61;11,33278481
006274;80;4,92;90,87;12,369125
006275;80;4,91;8305,74;222,16425
006276;80;4,94;45,63;13,42125
006277;100;5,96;28324,81;586,9701
006278;98;5,49;9196,71;211,0373469
006279;99;5,36;9194,61;206,0076768
006280;100;7,29;210,74;22,0898
006281;100;7,3;107,32;18,8548
006282;100;7,33;8427,11;186,8799
006283;100;7,29;28600,76;592,4175
006284;100;7,31;295,58;33,302
006285;100;7,34;8317,53;197,8491
006286;100;4,55;90,14;15,6854
006287;98;5,08;8321,7;186,9057143
006288;100;5,13;103,09;19,5306
006289;100;4,54;86,23;12,7753
006290;100;4,78;8314,59;181,8358
006291;100;5,08;91,44;20,5625
006292;100;5,41;78,3;13,9182
006293;100;5,26;29151,04;598,535
006295;90;5,19;9270,74;218,4901111
006296;89;4,95;93,79;12,96629213
006297;90;4,4;92,59;10,86655556
006298;90;4,42;9198,24;216,5951111
006299;90;4,45;145,18;15,10466667
006300;75;4,53;10213,91;283,7304
006301;80;7,49;57,33;15,528125
006302;80;4,43;29187,96;742,147375
006303;98;4,55;9526,26;119,9272449
006304;100;5,34;164,97;17,5212
006305;96;7,44;76,07;16,00510417
006306;95;7,31;19196,56;423,5609474
006308;96;7,33;9215,1;209,4416667
006309;101;4,94;9248,06;287,8928713
006310;100;4,98;84,07;13,1471
006311;101;4,99;9204,78;209,6185149
006312;100;5,17;54,86;13,6645
006313;100;5,2;97,09;16,5219
006314;100;5,19;78,68;14,8836
006315;100;5,35;88,82;14,4229
006316;100;4,99;8324,33;179,6992
006317;100;5,27;59,49;12,8994
006318;100;5,26;145,14;16,7327
006319;100;5,95;8380,21;184,173
006320;91;4,95;81,97;14,41604396
006321;90;5,33;74,99;14,71611111
006322;89;5,19;8318,06;205,5774157
006323;90;5,91;95,61;18,70666667
006324;90;5,38;81,84;15,74188889
006325;90;5,4;80,03;16,40311111
006326;90;5,41;8316,46;202,4703333
006327;90;5,09;82,81;16,905
006328;90;4,48;72,4;13,18633333
006329;90;4,52;84,96;15,21833333
006330;90;4,48;77,99;11,96877778
006331;90;4,43;89,91;11,30044444
006332;90;4,43;83,6;10,42566667
006333;90;4,52;92,87;11,781
006334;90;4,52;8314,35;201,3935556
006335;90;4,5;90,93;16,89822222
006336;90;4,44;8312,64;195,9663333
006337;90;4,52;92,41;11,04611111
006338;90;4,52;100,1;12,89055556
006339;90;4,48;79,19;11,27233333
006340;90;4,49;99,5;12,88466667
006341;90;4,46;100,29;16,92177778
006342;90;4,47;8332,89;198,7396667
006343;90;4,55;76,31;14,31488889
006344;90;4,54;102,89;15,26355556
006345;80;4,55;8358,11;219,454
006346;80;4,51;45,75;10,77525
006347;80;4,54;101,6;18,866875
006348;79;8,02;91,52;17,50405063
006349;80;8;104,78;20,645625
006350;80;8,01;67,87;16,42675
006351;80;8,02;91,86;19,721
006352;80;8,03;76,65;18,346375
006353;80;8,03;141,97;19,49375
006354;99;5,34;40101,89;823,9939394
006355;100;5,51;9190,66;199,0449
006356;98;5,58;78,99;16,33959184
006357;100;5,57;85,79;12,4593
006358;100;5,34;9293,13;202,0643
006359;100;5,59;9201,22;205,7265
006360;100;5,36;9270,39;205,4123
006361;100;7,35;29218,9;599,0786
006362;100;7,37;72,84;19,1766
006363;100;7,4;91,58;15,5291
006364;101;7,48;99,87;19,9409901
006365;102;7,48;8313,14;183,0157843
006366;100;7,45;94,03;16,5948
006367;100;7,85;120,25;20,3696
006368;100;7,34;8313,78;184,6967
006370;100;7,54;8299,95;178,964
006371;100;7,43;82,65;17,9594
006372;100;7,49;215,68;20,9031
006373;101;7,89;98,61;25,86435644
006374;100;4,97;133,84;19,0113
006375;100;4,47;95,85;13,4511
006376;100;4,91;8367,96;96,82
006377;101;4,92;85,27;13,36623762
006378;100;4,3;80,19;13,7326
006379;100;4,92;8371,03;183,5966
006380;100;4,91;185,15;19,8153
006381;100;5,05;8376,18;101,5191
006382;100;4,27;29248,83;600,4881
006383;100;4,93;89,44;10,2988
006384;100;3,86;144,85;17,0279
006385;100;4,54;94,15;16,4885
006386;100;4,08;180,86;20,8576
006387;100;4,79;8316,53;180,9428
006388;100;5,03;151,66;18,147
006389;5;4,96;66,15;38,74
006390;100;5,2;89,45;18,4927
006391;99;5,78;89,26;15,79212121
006392;60;5,38;8320,49;289,427
006393;100;5,35;86,72;14,111
006394;100;5,21;155,07;21,3423
006395;100;5,76;8303,63;181,5727
006396;100;5,37;93,73;14,9176
006397;90;5,77;8307,95;197,5626667
006398;90;5,24;51,83;12,04155556
006399;90;5,38;103,56;14,46766667
006400;91;5,22;294,42;18,07769231
006401;90;4,91;202,25;16,59066667
006402;90;5,38;100,15;18,53533333
006403;89;5,39;8323,53;123,938764
006404;90;5,38;85,76;14,98488889
006405;90;5,38;206,09;20,32955556
006406;90;4,47;8321,14;201,5453333
006407;90;4,44;72,24;11,72522222
006408;90;4,52;94,28;15,68166667
006409;90;4,5;47,74;8,79666667
006410;90;4,44;49;9,93411111
006411;90;4,47;8311,64;202,464
006412;90;4,5;97,05;11,67511111
006413;90;4,46;48,79;10,74133333
006414;90;4,2;83,68;11,80988889
006415;90;4,47;98,11;13,78555556
006416;90;4,43;28355,34;644,1185556
006417;90;4,47;86,05;12,96733333
006418;90;4,47;56,09;11,48744444
006419;90;4,51;50,98;11,31688889
006420;90;4,55;8363,99;198,2833333
006421;90;4,48;78,05;12,20111111
006422;90;4,53;86,76;13,09166667
006423;90;4,52;61,64;12,10944444
006424;80;4,47;8318,63;220,8965
006425;80;4,5;83,56;11,209
006426;80;4,45;96,65;12,99125
006427;80;8,1;8334,93;226,095875
006428;80;8,14;72,54;18,98425
006429;80;7,31;67,66;13,8235
006430;80;7,83;108,4;22,1835
006431;80;4,31;53,74;10,497125
006432;80;4,5;50,05;10,93825
006433;80;4,5;77,08;12,342625
006434;100;5,31;28455,85;591,1442
006435;100;5,2;89,8;17,2208
006436;100;5,35;86,98;18,6295
006437;100;5,32;8392,21;188,1952
006438;100;5,32;133,15;20,6475
006439;100;5,53;8359,09;186,9091
006440;100;5,33;179,61;24,1996
006441;100;7,94;8382,64;183,8116
006442;100;7,97;59,56;19,2756
006443;100;7,81;365,16;24,061
006444;100;4,14;909039,46;9104,8504
006445;100;7,51;8337,44;185,1684
006446;100;7,91;48,47;17,9892
006447;100;7,91;97,78;21,1683
006448;100;7,95;225,16;21,9652
006449;100;7,95;95,99;19,2474
006450;100;7,37;79,06;16,6086
006451;100;7,92;77,02;16,4265
006452;100;7,91;8360,26;271,0762
006453;101;7,93;220,91;25,04742574
006454;100;7,92;81,61;16,1103
006455;100;5,05;169,03;24,6852
006456;100;4,53;28388,91;587,1014
006457;100;4,93;92,9;17,0982
006458;100;3,53;172,66;17,345
006459;100;4,96;8367,31;101,3794
006460;100;4,53;70,98;15,1868
006461;100;4,51;94,14;10,9313
006462;100;4,41;76,96;11,4492
006463;100;4,45;8372,57;183,1103
006464;100;4,54;94,75;14,0848
006465;100;4,9;87,83;16,86
006466;100;4,98;8370,82;184,2103
006467;100;4,91;8364,98;180,8869
006468;100;4,92;88,84;14,5746
006469;100;5,77;8315,13;182,2208
006470;100;5,77;88,54;14,2748
006471;100;5,87;76,7;15,4418
006472;100;5,98;8327,31;183,8074
006473;100;5,4;75,12;14,1119
006474;100;5,4;99,36;14,338
006475;100;5,17;87,06;14,7815
006476;100;5,34;8320,45;183,8623
006477;90;5,35;28377,13;648,1357778
006478;89;5,24;87,08;14,25348315
006479;90;5,37;64,25;11,40933333
006480;90;5,55;90,1;16,56277778
006481;90;6,01;92,01;19,47333333
006482;92;5,36;8335,47;200,2696739
006483;91;5,62;343,69;22,44406593
006484;90;5,36;69,82;13,06911111
006485;90;4,97;78,63;12,14244444
006486;90;4,97;8307,95;199,0795556
006487;90;4,99;49,7;12,01888889
006488;90;4,99;77,93;13,99877778
006489;90;5;8309,63;195,2996667
006490;90;5;62,99;12,51122222
006491;90;4,98;123,65;15,35344444
006492;90;5,01;78,16;14,21977778
006493;90;4,52;207,8;18,67755556
006494;90;4,98;28330,33;642,6146667
006495;90;5,02;89,83;13,17377778
006496;90;4,97;63,35;12,52144444
006497;90;5,01;8307,66;198,6721111
006498;90;5,03;49,11;12,03855556
006499;90;5;77,87;12,40622222
006500;90;5,01;49,27;12,299
006501;80;4,98;54,9;10,833875
006502;80;4,97;83,83;13,8995
006503;81;4,99;8318,4;221,4093827
006504;80;5,01;64,06;14,645
006505;80;5,04;91,72;13,86275
006506;80;5;49,24;13,3215
006507;80;8,14;73,03;15,918
006508;80;7,92;8296,81;228,442
006509;80;5;84,03;16,583
006510;80;4,95;89,08;11,522875
006511;100;5,54;8765,03;201,2167
006512;99;5,37;8591,81;208,3306061
006513;100;5,35;109,01;17,8963
006514;100;5,32;28321,8;688,2299
006515;100;5,32;8993,82;108,8481
006516;99;5,33;101,08;17,22484848
006517;100;5,32;107,15;16,5635
006518;100;5,56;8394,74;196,148
006519;100;8;75,93;15,9269
006520;100;7,99;8298,29;180,2266
006521;100;7,99;98,14;18,5632
006522;100;5,09;111,59;20,5455
006523;100;5,13;309,51;20,7504
006524;100;8;82,75;17,7222
006525;100;5,01;74,3;16,0447
006526;100;4,32;8296,13;184,8203
006527;100;7,93;28410,76;587,4862
006528;100;7,98;76,05;17,2402
006529;100;7,98;93,91;15,4845
006530;99;7,99;85,99;16,26
006531;100;3,95;124,93;19,8966
006532;100;8,01;62,67;17,5906
006533;100;8;8295,63;181,2826
006534;100;8,02;77,09;18,3532
006535;100;4,45;97,8;15,5564
006536;100;4,45;75,98;13,0809
006537;100;4,45;8313,48;180,1477
006538;99;4,45;83,86;15,74717172
006540;100;4,49;78,96;12,6601
006541;100;4,9;8301,94;177,4839
006542;98;4,4;92,95;15,74357143
006543;100;4,91;88,77;12,9546
006544;100;4,9;248,1;16,3765
006545;100;4,47;28337,09;296,3337
006546;100;3,39;83,79;12,3815
006547;100;3,83;8305,88;179,4877
006548;100;4,47;74,01;14,119
006549;100;3,84;147,58;21,5782
006550;100;3,95;8307,01;180,6988
006551;100;3,94;81,12;14,9002
006552;40;5,17;96,65;21,8345
006553;100;5,21;49,77;12,0241
006554;100;5,13;195,71;16,7655
006555;100;5,12;8940,93;189,6954
006556;100;5,25;76,76;11,1785
006557;100;4,92;81,96;16,42
006558;90;5,34;748344,9;16645,799
006559;90;5,12;87,79;14,53044444
006560;90;5,12;8303,2;197,9586667
006561;90;5,13;84,36;14,03277778
006562;90;5,25;80,94;12,095
006563;90;5,25;29155,22;659,1793333
006564;90;4,53;748336,73;16642,52822
006565;90;4,57;86,84;10,73488889
006566;90;4,48;195,81;13,98788889
006567;90;4,58;65,21;11,37111111
006568;90;4,57;76,92;12,191
006569;90;4,91;8304,98;195,3854444
006570;90;5,02;79,6;13,02855556
006571;90;4,83;65,11;13,833
006572;90;4,51;80,17;11,15722222
006573;90;4,54;8310,04;194,6026667
006574;78;8,36;748495,01;19211,85346
006575;80;8,25;72,69;17,183625
006576;80;8,25;199,36;22,669875
006577;80;8,2;87,4;19,092625
006578;80;4,5;76,58;11,920625
006579;80;4,49;87,7;11,991625
006580;80;4,45;45,44;10,6925
006581;99;5,56;8350,9;203,3110101
006582;100;5,58;210,68;19,1091
006583;100;5,84;750430,71;15209,5422
006584;99;5,31;92,65;15,93252525
006585;100;5,56;18303,27;380,5945
006586;100;8,11;8326,32;185,5329
006587;100;8,12;91,76;15,9993
006588;103;7,87;73,84;20,38174757
006589;100;8,07;79,49;18,3657
006590;100;5,36;107,2;23,7726
006591;100;8,03;103,97;15,7833
006592;100;8,07;8331,87;183,6451
006593;100;8,15;58,69;17,9079
006594;99;4,53;84,65;14,49828283
006595;100;3,29;69,51;13,2317
006596;100;4,48;8314,29;183,5258
006597;100;4,86;87,99;14,1101
006598;100;4,86;88,19;11,9407
006599;100;4,75;748370,59;14982,4369
006600;100;4,43;197,64;17,3434
006601;100;4,56;88,48;13,9852
006602;100;4,46;9186,72;196,4591
006603;100;4,87;86,24;12,1933
006604;90;4,57;102,9;10,97177778
006605;89;4,57;99,62;14,09561798
006606;100;5,33;69,79;12,283
006607;100;5,19;84,97;13,7433
006608;100;5,22;8326,65;179,8574
006609;100;5,22;82,49;12,9786
006610;100;5,22;47,95;11,5938
006611;100;5,28;85,12;16,9788
006612;90;5,19;58,86;13,69311111
006613;90;5,2;82,11;11,21211111
006614;90;5,48;8324,79;198,712
006615;90;5,31;53,25;12,12433333
006616;89;5,45;86,12;16,32438202
006617;88;5,09;48399,94;1119,423295
006618;90;4,91;59,96;14,22855556
006619;90;4,97;83,76;12,25633333
006620;87;4,97;218,47;14,25425287
006621;90;4,54;91,19;11,39844444
006622;90;4,97;65,22;11,51811111
006623;90;4,94;257,98;18,39566667
006624;90;4,99;8310,51;195,3286667
006625;90;4,48;50,43;12,29077778
006626;90;4,94;86,69;12,65333333
006627;90;4,58;49;9,333
006628;90;4,96;48,77;11,44422222
006629;90;4,39;85,56;12,48622222
006630;80;4,89;159,44;13,08775
006631;80;4,58;28311,84;719,924875
006632;80;4,55;59,74;11,334125
006633;80;4,94;8309,64;219,07025
006634;80;8,38;74,92;17,69075
006635;80;8,36;85,08;19,059125
006636;100;5,34;98,21;16,9741
006637;100;5,3;83,82;17,7379
006638;100;5,3;89,55;14,4035
006639;100;5,74;9188,2;197,4216
006640;100;5,33;9203,71;200,7965
006641;100;5,34;171,76;19,895
006642;101;8,2;81,73;18,0760396
006643;100;8,2;61,45;16,2051
006644;100;8,2;94,96;19,2438
006645;100;8,2;8302,55;183,3559
006646;100;8,09;94,6;17,1116
006647;100;5,52;107,77;19,4825
006648;99;8,22;73,1;18,90272727
006649;100;8,13;121,76;22,9478
006650;100;8,14;76,9;18,2774
006651;100;8,07;28380,07;584,0048
006652;100;8,18;80,48;14,2705
006653;100;8,21;97,62;17,2721
006654;100;8,2;58,63;16,2435
006655;100;8,12;8311,97;182,8476
006656;100;4,96;60,25;10,8096
006657;100;3,88;84,01;13,8758
006658;98;4,94;8301,35;182,9705102
006659;100;4,89;92,21;14,2886
006660;100;4,99;89,09;13,2489
006661;100;4,01;176,02;16,5699
006662;100;4,87;28312,95;582,2448
006663;100;4,54;49,61;11,9559
006664;100;5,03;84,18;11,9333
006665;100;4,97;99,1;13,2747
006666;100;4,88;73,12;11,706
006667;100;4,96;8305,02;178,4524
006668;99;4,88;73,04;13,96989899
006669;100;5,11;84,05;10,914
006670;100;5,12;91,17;13,5064
006671;101;5,1;210,3;14,08148515
006672;100;5,11;8416,18;181,412
006673;100;5,95;72,78;14,3044
006674;99;5,76;99,19;12,81474747
006675;90;5,22;52,69;12,19511111
006676;90;5,23;86,81;14,65733333
006677;90;5,21;9188,96;216,6947778
006678;90;5,88;8316,28;200,342
006679;90;5,79;296,84;33,74888889
006680;90;5,53;9228,38;223,3764444
006681;90;5,3;90,69;18,17733333
006682;90;4,55;48316,52;1087,023222
006683;90;4,5;92,03;10,73
006684;90;4,49;88,7;14,16644444
006685;90;4,57;315,55;23,86344444
006686;90;4,56;8411,75;202,7018889
006687;90;4,58;114,71;13,83566667
006688;90;4,56;296,92;23,96333333
006689;90;4,53;50,56;14,80377778
006690;90;4,52;8312,15;203,4632222
006691;90;4,5;164;17,18655556
006692;90;4,46;48,24;13,03988889
006693;90;4,55;88,66;11,61933333
006694;90;4,49;8312,75;202,1592222
006695;90;4,52;91,14;9,98822222
006696;80;8,44;8318,93;232,39825
006697;80;8,88;92,99;21,212375
006698;80;8,46;95,58;24,789
006699;80;8,18;79,99;22,52675
006700;80;4,53;74,75;14,325875
006701;80;4,54;52,95;11,929
006702;80;4,53;8321,7;225,589625
006703;80;4,52;83,98;10,599625
006704;100;5,3;49292,3;1000,3725
006705;100;5,24;9181,01;200,1335
006706;100;5,92;87,28;15,9934
006707;100;5,37;9205,09;200,3562
006708;100;5,79;84,98;17,8249
006709;99;5,34;9195,9;208,8778788
006710;100;8,3;48321,76;499,8758
006711;104;8,33;64,36;21,64538462
006712;100;8,42;79,1;20,8871
006713;93;8,37;388,13;32,80236559
006714;107;8,4;8454,86;176,7516822
006715;100;8,54;194,72;27,5576
006716;100;8,3;101,93;18,7226
006717;100;8,3;70,66;19,3939
006718;100;8,29;109,53;18,4386
006719;100;8,32;8416,33;188,8523
006720;100;8,31;100,22;18,2789
006721;100;8,31;153,79;22,5162
006722;100;4,44;48365,03;986,0224
006723;100;6,03;87,14;18,258
006724;100;4,45;101,32;16,3905
006725;100;4,88;87,82;13,2448
006726;100;4,88;8324,91;184,4664
006727;100;4,9;92,87;13,5575
006728;99;4,51;369,01;28,63808081
006729;100;4,59;8399,46;181,0289
006730;100;4,36;100,26;14,288
006731;100;4,47;86,94;12,7466
006732;100;4,36;8381,97;184,6399
006733;100;4,88;107,03;16,2427
006734;100;4,94;86,2;13,3287
006735;2;70,75;70,85;70,8
006736;100;5,14;87,96;14,6484
006737;100;5,89;8312,97;180,5658
006738;100;5,87;145,84;16,6494
006739;100;5,87;93,63;16,9127
006740;100;5,88;8369,08;201,5977
006741;90;5,44;38436,6;868,9574444
006742;92;5,84;162,15;17,51369565
006743;90;5,85;103,92;16,06833333
006744;90;6,07;98,34;15,51588889
006745;90;5,47;8317,22;201,2138889
006746;90;5,45;114,8;16,65388889
006747;89;5,45;206,91;16,60505618
006748;90;4,56;38338,09;868,7461111
006749;90;4,54;65,2;11,75277778
006750;90;4,5;108,06;16,96166667
006751;90;4,46;63,95;11,41155556
006752;90;4,46;94,82;14,04133333
006753;89;4,49;8308,34;106,5888764
006754;90;4,52;62,37;13,42444444
006755;90;4,48;84,22;11,77422222
006756;90;4,48;102,94;13,83022222
006757;90;4,52;8326,01;199,9264444
006758;90;4,51;86,69;12,84266667
006759;90;4,5;8306,09;201,4464444
006760;90;4,54;88,67;12,84055556
006761;100;5,77;8505,94;197,6852
006763;100;5,3;85,79;20,8576
006764;100;5,31;19200,24;402,62
006765;100;5,35;92,07;18,6606
006766;80;4,47;90,97;11,888125
006767;80;9,21;93,05;19,043375
006768;80;9,22;8364,6;228,679125
006769;80;9,03;94,24;20,81925
006770;80;9,03;120,77;24,097375
006771;80;4,52;79,61;18,322875
006772;80;4,51;80,06;12,953375
006773;80;4,46;90,88;11,799
006774;100;8,41;78,72;16,926
006775;100;8,47;38614,96;796,2515
006776;100;8,46;167,71;22,7078
006777;100;8,48;78,57;18,4683
006778;100;8,87;8334,86;194,3965
006779;101;8,33;8404,64;183,8806931
006780;100;8,48;85,04;17,7807
006781;100;8,98;74,9;15,8448
006782;100;8,09;8323,54;192,7072
006783;100;8,37;125,68;23,5895
006784;101;4,85;8696,23;192,930198
006785;100;4,48;92,3;15,0557
006786;100;4,47;8310,21;180,36
006787;100;4,93;79,91;14,2614
006788;100;4,9;77,29;12,7537
006789;100;4,9;154,18;14,7289
006790;200;4,94;38371,95;783,6986
006791;100;4,57;209,8;18,759
006792;100;4,87;113,9;15,9114
006793;100;4,48;89,52;14,8038
006794;100;4,36;8374,16;181,5948
006795;100;4,9;88,03;15,1929
006796;100;5,48;28637,86;590,5126
006797;100;5,26;74,05;11,3928
006798;100;5,1;93,59;13,3975
006799;100;5,08;82,65;14,2887
006800;98;5,13;91,98;13,64622449
006801;99;5,27;91,86;12,83767677
006802;100;5,26;202,02;22,0642
006803;100;5,14;50,85;11,9147
006804;90;5,16;8315,22;197,6703333
006805;90;5,13;76,63;14,23233333
006806;90;5,12;89,77;14,32111111
006807;90;5,1;51,06;12,16344444
006808;90;5,14;90,71;15,38166667
006809;89;5,28;173,98;15,09719101
006810;90;5,25;56,16;12,13655556
006811;90;5,02;85,08;11,13588889
006812;90;4,49;66,13;12,99955556
006813;90;4,44;79,54;12,32322222
006814;90;4,43;8313;198,5694444
006815;90;4,5;698366,96;15530,15389
006816;90;4,51;88,79;11,21811111
006817;90;4,57;109,41;14,68188889
006818;90;4,92;50,34;11,52511111
006819;90;4,58;68,87;14,182
006820;90;4,46;28613,67;652,7935556
006821;90;4,52;86,63;11,39766667
006822;90;4,43;93,62;12,761
006823;90;4,59;8330,91;196,0525556
006824;91;4,59;171,83;24,19450549
006825;91;4,54;60,77;9,55307692
006826;90;4,54;50,92;10,91322222
006827;80;4,56;99,62;13,727625
006828;80;4,46;64,94;12,548
006829;80;4,54;8974,05;236,75575
006830;80;4,57;48,17;10,505
006831;80;4,54;103,28;14,128625
006832;80;4,58;77,8;13,595625
006833;80;4,54;78,64;11,649625
006834;80;5,28;95,71;21,472
006835;80;5,36;50,97;20,764
