Lagerin;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
000029619;100;5,36;92,73;13,8068
000029625;103;5,49;91,06;16,19757282
000029628;100;5,45;82,92;16,3504
000029654;107;6,22;28803,14;568,1747664
000029667;103;6,26;9697,84;578,2334952
000029669;100;6,22;83,94;15,8067
000029678;102;6,07;9201,79;291,8966667
000029680;103;6,41;313,61;28,62242718
000029684;100;6,13;8308,91;183,8123
000029693;102;6,15;115,41;18,53392157
000029696;106;6,15;9196,92;295,8475472
000029706;100;10,16;95,52;21,3546
000029707;102;10,21;88,81;26,05901961
000029709;102;10,22;80,07;20,84843137
000029711;91;5,04;50,96;11,74373626
000029716;90;5,03;82,63;11,91044444
000029718;90;5,02;96,51;12,38633333
000029720;92;5,04;8377,19;286,1958696
000029724;101;10,28;100;24,27148515
000029726;100;10,25;53,98;25,2562
000029729;101;10,21;99,11;21,23366337
000029732;100;10,25;67,44;23,4861
000029735;91;6,01;204,98;17,47494505
000029743;117;5,4;750,87;114,9907692
000029745;90;5,92;8860,5;230,3401111
000029749;93;5,85;280,71;24,41225806
000029757;106;6,17;9146,42;200,7233019
000029762;100;6,23;28310,59;593,6196
000029773;100;6,54;8863,21;206,1032
000029776;101;6,53;425,26;33,28207921
000029787;102;10,21;28317,9;579,0990196
000029788;101;10,24;8400,67;269,8591089
000029792;100;10,15;78,97;21,1635
000029795;90;5,01;77,73;13,71355556
000029801;90;5,04;55,19;12,00044444
000029806;90;5;8309,1;206,5331111
000029812;90;5,02;94,95;14,286
000029814;91;5,04;95,24;11,69241758
000029820;101;5,37;56,6;13,28435644
000029825;101;5,85;28478,86;863,8029703
000029829;102;5,34;371,26;24,58607843
000029832;105;5,35;28362,96;555,8409524
000029839;103;5,27;279,9;25,7492233
000029847;104;5,26;90,81;17,05519231
000029851;102;5,39;105,48;16,49696078
000029858;105;5,35;376,08;33,17495238
000029864;102;5,26;8309,15;102,7211765
000029865;103;5,85;287,19;21,66572816
000029872;103;5,38;133,01;22,17834951
000029936;100;6,05;115,42;24,13
000029957;84;10,37;139,19;28,64059524
000029960;80;5,01;78,11;16,5575
000029963;81;5;82,98;13,48654321
000029968;83;9,83;93,63;26,77024096
000029972;80;10,46;8372,86;246,711125
000029976;82;4,95;8615,83;343,7578049
000030011;92;5,89;82,14;19,4425
000030016;80;6,07;218,32;18,357625
000030021;83;6,11;8310,74;219,033253
000030029;103;10,27;123,57;30,54621359
000030032;100;5,77;8314,22;106,4682
000030034;100;10,16;8309,35;120,7499
000030044;95;6,06;286,21;27,74947368
000030050;92;5,27;702,66;35,31054348
000030055;90;5,04;49,99;11,77677778
000030058;91;5,22;105,28;16,44340659
000030060;90;5;8398,09;201,4942222
000030066;90;5,04;80,02;12,12822222
000030071;90;5,05;75,55;12,40922222
000030073;89;5,08;8312,04;199,5675281
000030077;100;10,25;56,65;19,3463
000030079;101;10,23;101,37;24,87257426
000030083;102;9,11;28386,49;590,1376471
000030086;100;10,26;99,65;22,4638
000030092;100;10,24;165,9;23,9719
000030096;90;5,01;78,85;13,58844444
000030099;90;5,02;114,65;14,63488889
000030104;91;5,04;94,28;16,39142857
000030107;90;5,05;79,7;11,97744444
000030111;102;5,3;8382,81;181,3218628
000030114;102;5,39;201,58;18,61794118
000030115;103;5,52;88,83;19,00174757
000030118;106;5,33;183,64;19,58235849
000030119;100;5,26;8472,58;184,6328
000030120;100;6,38;29200,69;600,8547
000030124;100;6,16;61,6;14,5671
000030125;100;5,5;9227,79;198,8459
000030135;81;10,82;8511,08;236,4277778
000030138;81;4,98;87,99;12,47679012
000030140;80;5,02;48;10,91725
000030148;81;10,31;92,81;27,40345679
000030150;80;5;72,11;11,625375
000030224;100;5,36;215,05;18,6117
000030227;101;5,37;82,67;16,11069307
000030232;100;5,44;57,27;13,4595
000030238;100;5,51;8370,1;179,1434
000030245;100;5,19;85,22;13,3678
000030248;100;5,37;28323,29;582,9454
000030254;100;5,18;266,43;17,5708
000030262;101;6,14;8315,29;262,5047525
000030267;104;6,14;122,12;18,76913462
000030270;102;6,04;83,85;15,46098039
000030278;101;6,45;9648,64;114,970396
000030283;104;6,27;101,47;20,56182692
000030288;102;6,19;698311,64;13730,83569
000030292;104;6,17;355,95;44,31307692
000030300;101;6,46;8382,78;182,1008911
000030301;90;5,01;8308,99;196,408
000030307;90;5,02;89,75;12,15933333
000030313;96;5,03;8599,33;460,2747917
000030316;90;5,05;81;12,678
000030321;91;5,03;29195,99;656,0601099
000030323;90;5,07;66,91;11,69566667
000030326;90;5,04;97,89;12,84955556
000030332;90;5,18;53,02;12,80333333
000030336;91;5,2;168,7;16,08758242
000030337;91;5,17;8313,43;198,2075824
000030341;91;5,21;698302,25;15361,06407
000030346;91;5,18;112,78;17,02769231
000030349;93;5,27;8304,49;192,0407527
000030354;91;5,2;148,42;18,11076923
000030357;90;5,27;48,35;13,00088889
000030366;102;5,27;99,55;18,0054902
000030371;102;5,29;74,96;14,3304902
000030377;104;5,34;206,02;23,29625
000030384;101;5,32;28392,11;576,0056436
000030398;108;5,35;31306,02;854,322037
000030399;103;5,29;95,98;15,88504854
000030407;101;5,5;95,91;15,49118812
000030410;103;5,3;698306,72;13583,16932
000030412;104;5,26;117,78;17,46057692
000030417;102;5,25;104,05;14,09960784
000030420;101;5,31;29113,38;301,489505
000030424;104;5,33;8369,9;178,2133654
000030430;81;6,33;92,77;18,34901235
000030440;81;5;8308,79;218,63
000030441;79;5,01;84,12;20,28012658
000030446;80;6,76;81,6;15,0405
000030448;80;4,99;75,96;11,57975
000030452;80;5,03;46,59;10,997
000030453;80;4,99;49,66;10,466375
000030461;90;5,04;196,04;16,39788889
000030464;90;5,03;51,94;11,62133333
000030467;90;5,04;71,55;13,26433333
000030475;100;6,12;74,94;18,1426
000030476;100;10,21;97,99;21,6525
000030480;99;10,23;698303,98;14127,49303
000030482;100;6,1;95,51;12,3446
000030486;91;4,51;28312,85;633,8775824
000030488;90;4,94;58,01;10,95955556
000030490;90;4,92;698311,5;15529,90622
000030497;91;4,54;178,28;13,39615385
000030499;90;4,54;83,72;10,59277778
000030503;90;4,52;78,09;13,02
000030508;90;4,92;44,97;11,903
000030512;91;5,22;8306,66;194,2997802
000030515;90;5,21;73,02;13,12355556
000030519;91;5,18;86,73;14,75615385
000030524;94;5,18;118,68;22,29393617
000030602;102;6,15;107,31;18,51676471
000030605;102;6,15;8302,38;177,5932353
000030609;100;10,17;76,7;21,2765
000030612;100;6,25;85,05;15,0498
000030616;90;5,13;55,75;13,74
000030624;90;6,18;8366,15;200,5707778
000030656;90;5,96;86;14,26288889
000030658;90;5,02;196,07;19,21844444
000030668;100;6,12;89,3;14,7628
000030670;103;10,23;80,93;23,65893204
000030678;101;5,11;64,88;18,65514851
000030680;99;6,15;93,79;17,21444444
000030689;103;5,74;99;16,28699029
000030697;102;5,48;140,29;18,38441176
000030700;102;5,28;90,65;17,8495098
000030702;102;5,36;179,13;18,54637255
000030708;106;5,49;108,25;18,5295283
000030709;105;5,48;8311,06;178,3701905
000030774;100;5,5;8444,93;186,3303
000030777;100;5,35;85,01;13,9042
000030781;107;5,33;8307,65;179,2873832
000030787;104;5,35;95,91;16,79769231
000030789;100;5,36;85,1;13,9282
000030792;104;5,3;86,75;16,93951923
000030796;103;5,31;50,91;14,33776699
000030800;104;5,46;28389,76;573,1460577
000030806;100;6,14;77,96;15,1046
000030808;100;5,76;28321,91;580,3579
000030816;99;6,13;8334,19;182,9113131
000030821;90;4,54;84,74;13,72377778
000030824;90;4,54;80,99;12,19944444
000030826;101;6,13;214,6;18,10415842
000030831;92;4,54;64,8;11,63934783
000030834;93;4,55;8319,3;285,6683871
000030835;100;6,14;64,5;15,3936
000030839;100;5,09;28324,37;298,4438
000030843;104;5,95;29836,01;595,8161539
000030844;100;6,15;292,6;16,3196
000030846;100;6,14;96,01;16,3455
000030851;101;6,12;94,66;18,76178218
000030853;103;6,13;8400,69;180,058932
000030856;100;6,13;63,22;15,7012
000030861;100;6,27;28342,84;300,335
000030904;80;4,99;2189577,39;27379,64113
000030909;81;5,01;85,55;14,97
000030912;81;5,09;48,04;11,28716049
000030914;80;5,49;73,03;18,35875
000030916;80;6,82;105,81;15,859
000030921;81;5,04;51,73;13,88074074
000030922;80;6,44;51,05;16,8675
000030923;82;6,45;8417,2;123,3121951
000030925;80;6,89;8322,9;222,202625
000030928;101;5,28;96,99;14,53326733
000030930;103;5,29;150,25;16,30728155
000030933;101;5,26;8305,66;181,8778218
000030935;104;5,28;8710,49;100,6075
000030939;102;5,48;58,18;13,39539216
000030942;104;5,52;100,95;18,70134615
000030944;111;5,24;204,6;28,24261261
000030952;103;5,23;130,28;18,04543689
000030954;101;6,21;172,14;19,22554455
000030960;100;6,22;98,1;17,7142
000030961;104;6,24;172,96;16,11201923
000030969;87;5,23;28307,67;665,0649425
000030975;92;5,21;9141,93;211,6386957
000030980;91;5,22;91,67;14,52934066
000030984;97;5,19;86,96;15,88051546
000030988;102;4,91;89,36;16,1522549
000030998;101;6,14;77,69;13,21188119
000031001;101;6,14;181,79;14,81653465
000031002;100;6,13;47,8;11,3547
000031007;91;5;28329,65;634,3865934
000031010;93;4,53;81,78;11,41666667
000031016;90;4,54;56,71;12,74022222
000031019;90;5,06;78,8;15,18333333
000031027;83;5;8401,3;417,0075904
000031033;85;4,57;160,71;22,50729412
000031039;82;5,02;84,11;18,39463415
000031042;80;7,15;74,9;15,7435
000031043;81;6,94;8370,88;220,8792593
000031047;81;7,16;8389,71;327,0820988
000031049;80;7,03;89,86;20,089875
000031052;80;6,54;81,63;18,6205
000031056;81;5,01;8299,77;217,5177778
000031058;84;7,07;8388,07;326,0902381
000031063;103;5,45;8331,82;179,9769903
000031066;102;5,27;283,93;25,20941176
000031069;101;5,36;98,11;16,39693069
000031072;106;5,4;8417,85;256,4624528
000031083;101;6,17;8316,63;186,9192079
000031085;107;6,15;9487,1;291,911215
000031088;102;6,13;28908,23;621,4062745
000031099;103;6,13;9185,99;205,3500971
000031103;100;6,13;28306,71;583,1598
000031107;103;6,18;29436,18;668,2662136
000031111;100;6,18;62,23;16,7323
000031118;104;6,45;9574,2;291,7185577
000031246;106;5,32;39410,03;391,6779245
000031248;103;5,82;8315,8;343,4779612
000031252;100;5,26;127,9;16,5575
000031254;100;5,47;270,92;16,9603
000031263;91;5,33;85,9;18,18296703
000031267;90;5,32;87,72;14,88911111
000031272;90;5,22;82;12,92344444
000031279;92;5,22;9140,68;217,1069565
000031281;90;5,24;60,71;13,12555556
