TEIL;LAGER;COUNT;MIN;MAX;AVG
I;000043023;80;480;60031;2278.6500
I;000028504;80;307;1154;445.4000
I;000040950;80;285;3646;444.8750
I;000028345;80;308;24878;1019.9625
I;000041156;81;446;3123;629.6914
I;000032278;79;417;6994;786.9367
I;000036916;79;525;3179;734.8101
I;000037188;80;285;1297;385.9000
I;000039039;80;289;1622;414.1375
I;000028502;80;303;1534;432.7125
I;000037192;80;285;26490;1268.1500
I;000037360;80;287;3185;737.2875
I;000039408;80;291;1780;475.9500
I;000029000;80;286;2088;415.9250
I;000043118;80;489;3877;790.5500
I;000030430;80;393;3157;648.7500
I;000032294;80;437;2491;652.6750
I;000034837;80;483;2906;714.0250
I;000032498;80;424;1221;540.4500
I;000041752;80;420;1563;581.5625
I;000029532;80;300;3009;438.5250
I;000039137;80;287;1650;436.6000
I;000037665;80;286;3562;461.0375
I;000034836;80;287;26303;1103.1500
I;000029541;80;635;2389;866.7625
I;000036047;80;290;2948;450.6000
I;000032501;80;294;2849;411.0750
I;000032525;80;267;1776;477.9875
I;000037693;80;294;48845;1693.9000
I;000038280;80;532;2615;717.5875
I;000029326;79;304;25669;1178.1646
I;000036033;80;505;7176;816.2375
I;000029539;79;301;2754;574.4304
I;000031042;80;435;2090;584.8500
I;000031033;80;297;4831;801.6500
I;000036452;80;289;4744;455.4625
I;000048091;80;436;25478;1159.5625
I;000048511;80;408;2539;593.7875
I;000046363;80;482;26366;1266.3500
I;000053146;80;281;25805;1029.3625
I;000046532;80;497;1200;567.4250
I;000053143;80;282;3364;560.9125
I;000050987;80;288;25832;1032.9625
I;000051174;80;284;884;373.4750
I;000053300;80;291;2506;498.1375
I;000053154;80;282;1011;399.4000
I;000044851;79;289;1647;424.1772
I;000044647;80;285;964;367.3250
I;000050194;80;288;25783;1052.9125
I;000051923;80;285;690;340.0750
I;000053572;80;262;2234;417.5625
I;000051920;80;285;1307;409.8625
I;000047326;80;283;2633;494.1375
I;000045733;80;367;2219;655.4875
I;000045928;76;473;832;533.1447
I;000049593;80;283;1112;404.9500
I;000045737;79;483;1695;619.7722
I;000052268;81;292;2278;472.0864
I;000049831;80;427;2200;654.2000
I;000048100;80;276;2555;372.8750
I;000052850;81;284;2561;500.3704
I;000044399;80;283;3046;441.3875
I;000052859;81;264;4541;575.4815
I;000044418;80;284;1782;407.6375
I;000044635;80;448;3577;664.8125
I;000051162;80;282;2557;413.1375
I;000033383;80;263;6674;598.1500
I;000038374;80;551;1890;679.6500
I;000030135;80;642;33068;1695.7625
I;000031879;80;414;3296;617.5500
I;000036458;80;517;2092;673.5750
I;000043031;80;489;224984;6218.2750
I;000034325;80;280;229793;6160.3750
I;000039404;79;562;2062;699.8101
I;000028511;80;303;2046;425.9250
I;000028501;80;616;5011;865.6250
I;000030140;80;302;905;385.2250
I;000043664;80;284;1833;390.6500
I;000034318;80;289;26291;1017.4000
I;000030914;80;309;1983;590.8750
I;000034966;80;484;27293;1319.8750
I;000041850;80;449;2930;653.6750
I;000039715;80;585;3139;726.6000
I;000037367;80;283;2747;613.9625
I;000030923;81;403;29840;1135.2593
I;000035641;81;297;26320;869.1111
I;000031058;80;427;28087;2000.7250
I;000036024;80;304;3092;436.4000
I;000034834;80;285;3385;449.6250
I;000032506;80;435;1982;578.6375
I;000035636;80;289;1436;446.3250
I;000033042;80;435;2839;555.4500
I;000033363;81;432;31000;1802.1728
I;000037689;80;294;2450;412.8625
I;000039704;80;344;1280;542.3125
I;000042367;80;279;25901;1092.8000
I;000040492;80;285;1828;403.7375
I;000036017;80;290;2178;428.6500
I;000029972;79;645;27166;1857.7722
I;000031866;80;300;2101;452.7750
I;000033366;80;295;28353;1207.7375
I;000048324;81;286;26267;1045.7284
I;000048508;79;297;3725;590.9494
I;000046534;80;290;25862;1091.5875
I;000050189;80;287;2919;387.7625
I;000046682;80;458;1591;668.7000
I;000053157;80;282;2743;478.5000
I;000051339;80;289;7363;635.8000
I;000051667;80;284;967;375.4875
I;000051671;80;274;1340;396.9500
I;000050549;80;284;3144;465.8625
I;000050995;79;287;919;363.5316
I;000048726;80;417;2234;596.2125
I;000046976;80;488;2576;659.6125
I;000049124;80;464;25979;1180.4750
I;000045314;80;455;2974;613.8625
I;000046980;80;488;2508;636.2250
I;000053306;80;283;1171;371.0625
I;000049113;80;285;2614;445.1875
I;000047313;80;295;4418;670.9875
I;000045331;80;288;1690;398.0375
I;000045474;38;292;4844;775.2632
I;000044083;80;428;2502;546.1625
I;000047984;80;401;27500;1295.0000
I;000054099;80;282;2577;465.9375
I;000049485;79;455;2588;652.7975
I;000044401;80;286;3130;597.4625
I;000054102;80;273;865;335.7875
I;000049834;81;469;4356;721.5556
I;000045920;79;485;5590;900.0506
I;000052644;80;288;1778;431.8000
I;000052853;80;290;26107;1110.0875
I;000048098;85;285;6294;1248.7647
I;000046153;80;288;5795;453.4000
I;000036450;80;295;1174;379.4250
I;000037966;80;285;964;387.7000
I;000028351;80;309;1546;445.9750
I;000027935;75;620;2742;851.6933
I;000040957;80;281;1531;414.4750
I;000028349;80;302;1899;449.6250
I;000031043;80;414;27048;1228.7250
I;000030138;81;298;2879;481.7531
I;000033407;80;291;25534;1096.0375
I;000043117;79;288;2684;609.5316
I;000041437;81;436;3383;642.3827
I;000032291;79;417;1293;532.5190
I;000028773;80;302;1707;377.6500
I;000034328;79;482;3072;653.6962
I;000043649;80;500;1270;602.2875
I;000032497;80;295;3072;513.0125
I;000041751;80;462;1454;566.3250
I;000037365;80;561;2815;739.8750
I;000041748;80;280;3657;630.5750
I;000029320;80;301;966;401.4125
I;000031056;80;301;25177;1030.8000
I;000035639;80;494;1983;644.0000
I;000032489;80;302;2327;457.9375
I;000042090;80;477;3256;695.5750
I;000038269;80;294;2260;531.3250
I;000040472;80;287;41213;1881.8000
I;000040487;80;287;2903;467.8625
I;000040483;80;413;4163;609.1625
I;000031865;80;297;2601;559.0000
I;000033369;80;294;1419;486.2750
I;000036044;80;285;1320;400.0250
I;000049841;80;383;1938;510.1000
I;000049845;80;383;2605;496.1000
I;000044848;80;266;2284;424.8250
I;000048735;80;281;25738;1137.3375
I;000049125;80;292;3189;452.5875
I;000048736;80;300;2579;566.1375
I;000045058;81;445;3688;664.8642
I;000050753;80;289;1602;430.4625
I;000049121;82;448;5298;924.2927
I;000046993;81;462;25050;1600.3704
I;000051928;80;283;2133;431.0000
I;000051929;80;286;2241;439.6750
I;000053765;80;284;850;375.6625
I;000044081;81;287;2318;427.1235
I;000053775;78;283;2462;502.7821
I;000044080;79;287;3118;464.2785
I;000047762;80;424;3680;822.7625
I;000049480;80;284;24974;1486.9250
I;000045916;72;470;2881;673.4444
I;000052646;80;288;1180;447.3250
I;000049843;80;460;5619;645.9000
I;000044396;80;439;12256;1053.1125
I;000044404;80;269;2509;535.2125
I;000038826;80;292;26707;1150.8625
I;000028216;80;303;866;422.3250
I;000029960;78;301;2291;543.7692
I;000028338;80;303;2717;494.3375
I;000038381;80;338;24490;1269.3500
I;000031861;80;414;7093;805.4000
I;000040945;79;451;2494;620.8861
I;000036454;80;294;2708;647.6250
I;000043034;80;286;1635;422.1500
I;000030148;81;631;3161;905.2840
I;000032282;80;392;25446;1214.3250
I;000041147;80;451;3908;597.2250
I;000041442;78;426;1039;520.3846
I;000037189;81;498;2399;742.0494
I;000034309;80;451;2255;633.8125
I;000038810;80;292;26906;1166.4750
I;000029005;80;303;1344;413.0125
I;000043671;77;476;2803;772.2727
I;000030446;80;396;2481;572.5500
I;000034830;80;284;3681;652.1875
I;000032491;80;414;3489;780.6625
I;000037362;80;516;4838;944.4750
I;000041849;79;284;2021;569.7595
I;000040170;80;287;26304;1094.6750
I;000037680;80;286;3048;439.3875
I;000039710;80;282;3068;659.7500
I;000030916;80;402;3941;621.4000
I;000031039;80;302;2731;609.7750
I;000034832;80;451;1656;627.1375
I;000032521;80;436;3480;633.5500
I;000042083;80;461;3348;649.4125
I;000028996;80;636;5503;919.4125
I;000035349;80;303;2623;571.3875
I;000042075;80;451;29446;1334.2625
I;000037667;80;286;3185;562.9375
I;000036029;80;520;1949;646.4125
I;000040478;80;403;27763;1253.5875
I;000036455;80;500;2860;724.0000
I;000031052;80;414;2483;637.0500
I;000029968;80;583;3217;1041.9000
I;000031027;81;300;28890;1879.3457
I;000049601;79;284;1843;486.4557
I;000046353;80;289;2361;514.2750
I;000050561;80;287;1945;413.8125
I;000051191;80;286;2871;455.1750
I;000046681;78;481;2182;629.3718
I;000044386;80;289;26281;1030.7375
I;000051337;80;286;26085;1047.7625
I;000050555;80;285;2377;380.7875
I;000047001;81;483;25372;1232.5185
I;000050992;80;284;2214;449.6250
I;000045318;81;455;26187;1405.1481
I;000053567;79;283;646;365.7595
I;000053575;80;282;25876;1018.6375
I;000052278;80;286;2009;429.6625
I;000047771;80;281;25828;1003.0750
I;000051927;79;284;111669;3333.2025
I;000047322;80;283;6271;589.8875
I;000054111;4;276;290;284.7500
I;000049829;80;434;2476;588.8000
I;000048103;77;285;29094;1605.5065
I;000046371;78;272;1344;373.2051
I;000042537;81;480;3326;793.5556
I;000042530;80;497;2716;700.7250
I;000038376;80;284;3315;439.8250
I;000040954;80;281;3229;630.8625
I;000036911;80;517;26333;1373.3750
I;000033397;75;285;94431;2941.9067
