TEIL;COUNT;MIN;MAX;AVG;FAILURE
A;2235;347.00;29065.00;4337.20;0.0367
B;2235;198.00;2511537.00;16785.34;0.4157
C;2235;49.00;700079.00;14228.10;0.2443
D;2235;196.00;322808.00;6341.39;0.2483
E;2235;221.00;4235024.00;44829.39;0.1087
F;2235;181.00;256550.00;8317.71;0.0877
G;2235;23.00;462658.00;9515.85;0.1298
H;2235;213.00;360901.00;11226.62;0.2067
I;2235;26.00;59542.00;3060.38;0.1481
K;2235;230.00;321098.00;13559.07;0.2586
