TEIL;COUNT;MIN;MAX;AVG;FAILURE
D;281;196.0;322808.0;6359.14;0.0142
G;177;23.0;462658.0;9550.68;0.0075
K;362;230.0;321098.0;13559.07;0.0155
I;214;26.0;59542.0;3060.38;0.0082
F;105;181.0;256550.0;8317.71;0.0048
B;598;198.0;2511537.0;16846.12;0.0241
E;119;221.0;4235024.0;45157.97;0.006
H;288;213.0;360901.0;11226.62;0.0112
C;297;49.0;700079.0;14316.94;0.0062
A;46;347.0;29065.0;4337.2;0.0311
