0.265081;
0.175199;
0.172076;
0.163507;
0.164971;
0.164424;
0.161089;
0.182358;
0.178010;
0.168508;
0.162464;
0.157315;
0.052077;
0.051975;
0.051658;
0.052369;
0.050845;
0.049749;
0.052454;
0.056532;
0.059295;
0.058798;
0.056516;
0.053912;
0.054603;
0.059126;
0.061468;
0.062553;
0.054789;
0.059498;
0.059954;
0.062444;
0.066988;
0.068278;
0.060803;
0.064607;
0.064432;
0.065125;
0.051639;
0.069703;
0.052749;
0.052038;
0.052612;
0.054680;
0.056989;
0.054606;
0.055686;
0.062420;
0.048510;
0.053899;
0.064466;
0.054117;
0.052037;
0.053283;
0.053783;
0.053299;
0.056063;
0.059491;
0.082664;
0.086322;
0.052988;
0.051728;
0.053359;
0.056996;
0.062866;
0.065296;
0.054100;
0.053347;
0.051669;
0.054089;
0.063035;
0.052453;
0.056216;
0.053486;
0.051098;
0.052198;
0.057050;
0.052678;
0.051662;
0.054260;
0.052202;
0.052843;
0.051142;
0.052704;
0.051750;
0.050719;
0.050940;
0.051485;
0.050998;
0.055577;
0.048899;
0.084109;
0.146996;
0.159579;
0.168634;
0.185748;
0.163884;
0.157129;
0.161875;
0.157090;
0.170612;
0.194169;
0.203273;
0.154686;
0.175622;
0.160701;
0.160963;
0.193285;
0.195652;
0.188020;
0.173723;
0.162848;
0.249110;
0.161981;
0.207923;
0.180712;
0.172150;
0.175869;
0.164711;
0.160169;
0.159146;
0.159515;
0.165523;
0.172823;
0.154722;
0.168682;
0.157635;
0.170127;
0.152336;
0.184721;
0.172109;
0.160199;
0.166433;
0.160191;
0.164135;
0.146934;
0.161876;
0.165191;
0.178599;
0.159160;
0.171951;
0.153450;
0.166378;
0.161439;
0.165417;
0.162426;
0.171408;
0.161300;
0.163813;
0.165639;
0.156471;
0.164416;
0.174671;
0.171251;
0.157856;
0.163300;
0.217826;
0.168115;
0.157702;
0.153528;
0.172811;
0.163521;
0.153760;
0.162216;
0.162180;
0.168517;
0.163866;
0.176100;
0.178452;
0.157990;
0.167011;
0.163104;
0.151520;
0.162570;
0.183948;
0.197833;
0.160543;
0.161859;
0.160255;
0.163192;
0.162238;
0.158391;
0.171919;
0.170239;
0.165645;
0.162998;
0.155822;
0.165780;
0.162789;
0.164681;
0.202315;
0.161635;
0.165243;
0.155936;
0.161012;
0.159193;
0.190972;
0.209625;
0.175860;
0.174439;
0.183634;
0.160894;
0.175137;
0.173930;
0.170484;
0.158314;
0.158297;
0.159874;
0.158715;
0.206031;
0.166378;
0.170654;
0.161733;
0.158985;
0.156433;
0.152901;
0.159200;
0.169388;
0.232261;
0.153543;
0.165850;
0.162003;
0.066434;
0.052185;
0.054300;
0.050805;
0.054276;
0.055071;
0.066133;
0.069863;
0.059482;
0.051699;
0.056672;
0.054286;
0.056190;
0.071685;
0.057361;
0.055280;
0.052608;
0.053899;
0.072130;
0.059347;
0.157789;
0.158201;
0.161923;
0.169506;
0.162067;
0.161472;
0.161129;
0.157882;
0.160637;
0.163251;
0.156346;
0.163087;
0.162244;
0.158392;
0.162679;
0.160542;
0.176324;
0.159541;
0.169080;
0.185704;
0.161960;
0.165237;
0.159709;
0.053439;
0.061955;
0.062675;
0.063452;
0.063911;
0.064428;
0.062838;
0.063371;
0.062002;
0.051345;
0.060698;
0.051834;
0.069491;
0.063396;
0.065398;
0.064759;
0.052995;
0.061656;
0.059161;
0.064289;
0.061867;
0.056594;
0.161092;
0.155655;
0.158102;
0.166827;
0.170418;
0.189923;
0.157366;
0.162019;
0.157846;
0.182119;
0.166900;
0.172190;
0.152064;
0.161514;
0.155325;
0.152731;
0.156908;
0.169978;
0.169233;
0.162281;
0.156134;
0.157881;
0.157790;
0.157507;
0.157580;
0.152234;
0.160788;
0.165334;
0.157022;
0.151805;
0.157714;
0.162921;
0.159736;
0.167529;
0.175576;
0.168288;
0.166929;
0.162732;
0.162553;
0.156212;
0.172260;
0.158225;
0.163866;
0.154489;
0.167603;
0.156708;
0.149592;
0.143573;
0.170503;
0.171722;
0.165360;
0.174267;
0.154476;
0.260400;
0.159369;
0.171821;
0.183416;
0.174147;
0.156679;
0.159273;
0.159410;
0.158465;
0.206421;
0.165327;
0.164924;
0.176498;
0.153903;
0.060035;
0.053181;
0.054974;
0.060293;
0.054224;
0.053445;
0.050572;
0.061478;
0.052415;
0.067667;
0.062091;
0.052599;
0.060204;
0.049520;
0.058172;
0.061318;
0.060160;
0.051540;
0.061753;
0.083503;
0.051247;
0.091670;
0.073166;
0.154739;
0.155690;
0.160835;
0.169924;
0.166078;
0.156719;
0.159775;
0.154763;
0.159593;
0.163016;
0.156054;
0.164958;
0.170859;
0.157357;
0.158918;
0.161627;
0.158478;
0.159491;
0.170845;
0.168648;
0.160686;
0.154137;
0.164736;
0.159011;
0.160746;
0.161416;
0.162767;
0.157165;
0.166743;
0.163856;
0.172363;
0.163090;
0.159031;
0.161777;
0.163266;
0.163667;
0.154929;
0.163203;
0.158693;
0.151611;
0.179170;
0.159158;
0.168131;
0.167150;
0.179401;
0.152228;
0.165079;
0.158811;
0.162741;
0.165593;
0.164361;
0.161285;
0.161274;
0.162360;
0.160707;
0.163380;
0.156472;
0.165769;
0.168371;
0.157098;
0.157441;
0.163950;
0.158311;
0.154572;
0.162794;
0.165444;
0.209091;
0.162910;
0.162462;
0.165044;
0.156834;
0.163944;
0.159823;
0.162946;
0.160668;
0.156150;
0.155597;
0.156930;
0.159663;
0.157697;
0.166657;
0.162285;
0.159520;
0.156529;
0.161324;
0.162706;
0.153607;
0.161624;
0.201880;
0.168922;
0.162580;
0.160458;
0.159192;
0.164638;
0.155717;
0.162075;
0.194556;
0.162256;
0.151896;
0.155912;
0.156203;
0.154059;
0.161515;
0.158763;
0.169405;
0.158896;
0.152662;
0.163367;
0.160501;
0.163580;
0.156651;
0.169479;
0.165400;
