-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A
FA: 005797          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 005798          MIN: 0T:0h:45m:16s        MAX: 0T:0h:58m:18s        AVG: 0T:0h:51m:47s      Ausschussfaktor: 2.00 %
FA: 005866          MIN: 0T:0h:20m:58s        MAX: 2T:7h:58m:19s        AVG: 0T:18h:54m:3s      Ausschussfaktor: 4.00 %
FA: 005867          MIN: 0T:0h:26m:20s        MAX: 0T:0h:56m:24s        AVG: 0T:0h:44m:36s      Ausschussfaktor: 7.92 %
FA: 005868          MIN: 0T:0h:21m:52s        MAX: 0T:0h:28m:20s        AVG: 0T:0h:25m:6s      Ausschussfaktor: 2.00 %
FA: 005869          MIN: 0T:7h:35m:54s        MAX: 0T:7h:35m:54s        AVG: 0T:7h:35m:54s      Ausschussfaktor: 1.98 %
FA: 005870          MIN: 0T:0h:55m:11s        MAX: 0T:0h:58m:51s        AVG: 0T:0h:57m:1s      Ausschussfaktor: 3.00 %
FA: 005871          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 005872          MIN: 0T:0h:6m:53s        MAX: 0T:0h:13m:22s        AVG: 0T:0h:10m:7s      Ausschussfaktor: 2.00 %
FA: 005873          MIN: 0T:0h:17m:47s        MAX: 0T:2h:29m:43s        AVG: 0T:1h:44m:50s      Ausschussfaktor: 4.00 %
FA: 005945          MIN: 0T:0h:5m:8s        MAX: 0T:0h:49m:36s        AVG: 0T:0h:27m:22s      Ausschussfaktor: 3.00 %
FA: 005946          MIN: 0T:2h:35m:30s        MAX: 0T:2h:38m:52s        AVG: 0T:2h:37m:11s      Ausschussfaktor: 2.97 %
FA: 005947          MIN: 0T:2h:39m:57s        MAX: 0T:2h:39m:57s        AVG: 0T:2h:39m:57s      Ausschussfaktor: 4.00 %
FA: 005948          MIN: 0T:1h:0m:49s        MAX: 0T:1h:3m:31s        AVG: 0T:1h:1m:48s      Ausschussfaktor: 4.00 %
FA: 005949          MIN: 0T:1h:40m:0s        MAX: 0T:1h:40m:0s        AVG: 0T:1h:40m:0s      Ausschussfaktor: 2.00 %
FA: 005950          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 005951          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 005952          MIN: 0T:1h:25m:2s        MAX: 0T:1h:25m:2s        AVG: 0T:1h:25m:2s      Ausschussfaktor: 3.00 %
FA: 006022          MIN: 2T:7h:50m:1s        MAX: 2T:7h:50m:1s        AVG: 2T:7h:50m:1s      Ausschussfaktor: 2.00 %
FA: 006023          MIN: 0T:0h:14m:59s        MAX: 0T:0h:19m:31s        AVG: 0T:0h:17m:15s      Ausschussfaktor: 4.00 %
FA: 006024          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 006025          MIN: 0T:0h:20m:47s        MAX: 0T:0h:20m:47s        AVG: 0T:0h:20m:47s      Ausschussfaktor: 4.08 %
FA: 006026          MIN: 0T:0h:32m:38s        MAX: 0T:0h:55m:6s        AVG: 0T:0h:47m:40s      Ausschussfaktor: 6.00 %
FA: 006027          MIN: 0T:0h:17m:52s        MAX: 0T:0h:22m:31s        AVG: 0T:0h:20m:11s      Ausschussfaktor: 3.00 %
FA: 006028          MIN: 0T:0h:43m:11s        MAX: 0T:0h:43m:11s        AVG: 0T:0h:43m:11s      Ausschussfaktor: 1.00 %
FA: 006029          MIN: 0T:1h:6m:55s        MAX: 0T:1h:7m:29s        AVG: 0T:1h:7m:12s      Ausschussfaktor: 2.97 %
FA: 006100          MIN: 0T:0h:20m:35s        MAX: 0T:7h:47m:18s        AVG: 0T:3h:0m:43s      Ausschussfaktor: 8.00 %
FA: 006101          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 006102          MIN: 0T:0h:17m:59s        MAX: 0T:0h:52m:5s        AVG: 0T:0h:28m:1s      Ausschussfaktor: 6.00 %
FA: 006103          MIN: 0T:0h:9m:11s        MAX: 0T:0h:9m:11s        AVG: 0T:0h:9m:11s      Ausschussfaktor: 3.00 %
FA: 006104          MIN: 0T:0h:26m:35s        MAX: 0T:0h:55m:58s        AVG: 0T:0h:46m:10s      Ausschussfaktor: 4.00 %
FA: 006105          MIN: 0T:0h:35m:19s        MAX: 0T:0h:35m:19s        AVG: 0T:0h:35m:19s      Ausschussfaktor: 1.00 %
FA: 006106          MIN: 0T:0h:11m:36s        MAX: 0T:0h:38m:46s        AVG: 0T:0h:20m:55s      Ausschussfaktor: 4.00 %
FA: 006177          MIN: 0T:1h:36m:41s        MAX: 0T:1h:36m:41s        AVG: 0T:1h:36m:41s      Ausschussfaktor: 2.00 %
FA: 006178          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 3.00 %
FA: 006179          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 006180          MIN: 0T:1h:43m:8s        MAX: 0T:1h:51m:10s        AVG: 0T:1h:47m:9s      Ausschussfaktor: 3.00 %
FA: 006181          MIN: 0T:0h:10m:39s        MAX: 0T:0h:19m:56s        AVG: 0T:0h:15m:17s      Ausschussfaktor: 2.00 %
