-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A       Gesamtanzahl gefertigt: 2235

TEIL A gesamt: 2235        MIN: 0T:0h:4m:2s        MAX: 0T:0h:59m:55s        AVG: 0T:0h:9m:19s     MIN_FAIL: 0       MAX_FAIL: 2        AVG_FAIL: 3.58 %
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: B       Gesamtanzahl gefertigt: 37094

FA: 005712     Anzahl gefertigt: 88        MIN: 0T:0h:5m:46s        MAX: 0T:0h:46m:3s        AVG: 0T:0h:10m:36s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.27 %
FA: 005713     Anzahl gefertigt: 100        MIN: 0T:0h:5m:28s        MAX: 0T:0h:43m:2s        AVG: 0T:0h:8m:37s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
FA: 005714     Anzahl gefertigt: 100        MIN: 0T:0h:5m:24s        MAX: 0T:0h:51m:57s        AVG: 0T:0h:10m:39s     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 5.00 %
FA: 005715     Anzahl gefertigt: 100        MIN: 0T:0h:5m:23s        MAX: 0T:0h:45m:52s        AVG: 0T:0h:9m:21s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.00 %
FA: 005716     Anzahl gefertigt: 101        MIN: 0T:0h:5m:24s        MAX: 0T:0h:40m:57s        AVG: 0T:0h:9m:27s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.97 %
FA: 005717     Anzahl gefertigt: 100        MIN: 0T:0h:5m:31s        MAX: 0T:0h:20m:43s        AVG: 0T:0h:7m:6s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005718     Anzahl gefertigt: 100        MIN: 0T:0h:5m:30s        MAX: 0T:0h:42m:7s        AVG: 0T:0h:10m:7s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 005719     Anzahl gefertigt: 100        MIN: 0T:0h:5m:24s        MAX: 0T:0h:48m:24s        AVG: 0T:0h:9m:11s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
FA: 005792     Anzahl gefertigt: 99        MIN: 0T:0h:4m:21s        MAX: 0T:0h:43m:58s        AVG: 0T:0h:10m:25s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 6.06 %
FA: 005793     Anzahl gefertigt: 97        MIN: 0T:0h:1m:22s        MAX: 0T:0h:55m:37s        AVG: 0T:0h:9m:25s     MIN_FAIL: 1       MAX_FAIL: 3        AVG_FAIL: 4.12 %
FA: 005794     Anzahl gefertigt: 100        MIN: 0T:0h:5m:28s        MAX: 0T:0h:24m:22s        AVG: 0T:0h:8m:40s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
FA: 005795     Anzahl gefertigt: 100        MIN: 0T:0h:5m:39s        MAX: 0T:0h:45m:9s        AVG: 0T:0h:9m:5s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.00 %
FA: 005796     Anzahl gefertigt: 100        MIN: 0T:0h:5m:42s        MAX: 0T:0h:42m:6s        AVG: 0T:0h:9m:56s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005797     Anzahl gefertigt: 100        MIN: 0T:0h:5m:40s        MAX: 0T:0h:26m:25s        AVG: 0T:0h:9m:46s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005798     Anzahl gefertigt: 100        MIN: 0T:0h:5m:39s        MAX: 0T:0h:42m:23s        AVG: 0T:0h:9m:12s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 005866     Anzahl gefertigt: 100        MIN: 0T:0h:6m:5s        MAX: 0T:0h:27m:23s        AVG: 0T:0h:10m:20s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.00 %
FA: 005867     Anzahl gefertigt: 101        MIN: 0T:0h:5m:28s        MAX: 0T:0h:39m:39s        AVG: 0T:0h:12m:23s     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 7.92 %
