Hinweise:

Anzahl gefertigt = Anzahl der Stücke (SNR), welche erfolgreich durch die Maschine (Output vorhanden) gelaufen sind - doppelte SNR im zählen nur einfach
MIN - minimale Fertigungszeit (Input DS - letzer Output zu Input DS)
MAX - maximale Fertigungszeit (Input DS - letzer Output zu Input DS)
AVG - durchschnittliche Fertigungszeit (alle Fertigungszeiten addiert, dividiert durch Anzahl der verwendeten Input DS)
MIN_FAIL - minimaler Ausschuss (1 entspricht also 2 Input DS einer SNR)
MAX_FAIL - maximaler Ausschuss (1 entspricht also 2 Input DS einer SNR)
AVG_FAIL - durchschnittlicher Ausschuss (Anzahl aller Ausschüsse addiert, dividiert durch Anzahl gefertigt) - in den Daten habe ich vergessen mit 100 zu multiplizieren oder % weg

Es treten noch sehr selten negative Werte im MIN auf. Habe den Fehler aber noch nicht gefunden. 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A       Gesamtanzahl gefertigt: 2235

FA: 005712     Anzahl gefertigt: 88        MIN: 5.77 min        MAX: 46.05 min        AVG: 11.70 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 005713     Anzahl gefertigt: 100        MIN: 5.47 min        MAX: 43.03 min        AVG: 9.91 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 005714     Anzahl gefertigt: 100        MIN: 5.40 min        MAX: 51.95 min        AVG: 16.34 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.05 %
FA: 005715     Anzahl gefertigt: 100        MIN: 5.38 min        MAX: 45.87 min        AVG: 9.95 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 005716     Anzahl gefertigt: 101        MIN: 5.40 min        MAX: 40.95 min        AVG: 14.82 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 005717     Anzahl gefertigt: 100        MIN: 5.52 min        MAX: 20.72 min        AVG: 7.10 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005718     Anzahl gefertigt: 100        MIN: 5.50 min        MAX: 42.12 min        AVG: 13.38 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 005719     Anzahl gefertigt: 100        MIN: 5.40 min        MAX: 48.40 min        AVG: 10.27 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 005792     Anzahl gefertigt: 99        MIN: 4.35 min        MAX: 43.97 min        AVG: 12.35 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.06 %
FA: 005793     Anzahl gefertigt: 97        MIN: 1.37 min        MAX: 55.62 min        AVG: 9.43 min     MIN_FAIL: 1       MAX_FAIL: 3        AVG_FAIL: 0.04 %
FA: 005794     Anzahl gefertigt: 100        MIN: 5.47 min        MAX: 24.37 min        AVG: 8.43 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 005795     Anzahl gefertigt: 100        MIN: 5.65 min        MAX: 45.15 min        AVG: 11.65 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 005796     Anzahl gefertigt: 100        MIN: 5.70 min        MAX: 42.10 min        AVG: 14.33 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005797     Anzahl gefertigt: 100        MIN: 5.67 min        MAX: 26.42 min        AVG: 11.66 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005798     Anzahl gefertigt: 100        MIN: 5.65 min        MAX: 42.38 min        AVG: 9.52 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 005866     Anzahl gefertigt: 100        MIN: 5.87 min        MAX: 27.38 min        AVG: 11.51 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 005867     Anzahl gefertigt: 101        MIN: 5.47 min        MAX: 39.65 min        AVG: 20.34 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.08 %
FA: 005868     Anzahl gefertigt: 100        MIN: 5.45 min        MAX: 52.42 min        AVG: 11.70 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
