TEIL;FA;COUNT;MIN;MAX;AVG
B;006927              ;100;288.00;1696.00;523.49
B;006928              ;100;286.00;2879.00;486.21
B;006929              ;100;277.00;2899.00;477.27
B;006986              ;100;296.00;2187.00;408.16
B;006987              ;99;228.00;2641.00;474.48
B;006988              ;98;294.00;2020.00;480.02
B;006989              ;100;289.00;3141.00;528.50
B;006990              ;100;299.00;2949.00;513.58
B;006991              ;99;241.00;1460.00;453.66
B;007047              ;100;284.00;1944.00;496.76
B;007048              ;102;363.00;2834.00;617.23
B;007049              ;100;284.00;3502.00;566.14
B;007050              ;100;288.00;2862.00;482.48
B;007051              ;100;288.00;3253.00;609.62
B;007052              ;100;290.00;3167.00;501.37
B;007053              ;100;291.00;3100.00;614.39
B;007105              ;100;285.00;2667.00;530.04
B;007106              ;100;288.00;3150.00;540.98
B;007107              ;100;287.00;3459.00;548.15
B;007108              ;100;293.00;2391.00;544.94
B;007109              ;100;290.00;2272.00;477.37
B;007110              ;100;290.00;2989.00;467.21
B;007182              ;100;293.00;2826.00;604.50
B;007183              ;100;287.00;2677.00;565.17
B;007184              ;100;288.00;3349.00;477.72
B;007185              ;100;292.00;3280.00;527.04
B;007187              ;100;291.00;2716.00;456.69
B;007188              ;100;290.00;2000.00;523.80
B;007260              ;100;277.00;3274.00;533.40
B;007261              ;100;287.00;3129.00;512.93
B;007262              ;100;288.00;1581.00;471.05
B;007263              ;100;290.00;2439.00;430.07
B;007264              ;100;289.00;2891.00;504.18
B;007265              ;100;290.00;2109.00;444.54
B;007266              ;100;290.00;2132.00;455.31
B;007267              ;100;290.00;2441.00;428.17
B;007341              ;100;279.00;3444.00;559.54
B;007342              ;99;291.00;1324.00;410.79
B;007343              ;100;289.00;1604.00;375.54
B;007344              ;99;288.00;2489.00;576.11
B;007345              ;100;289.00;2145.00;440.49
B;007346              ;100;292.00;3576.00;751.47
B;007347              ;100;292.00;3212.00;499.24
B;007422              ;100;294.00;1013.00;394.58
B;007423              ;100;285.00;2764.00;492.95
B;007424              ;100;287.00;2755.00;434.24
B;007425              ;100;290.00;3290.00;533.73
B;007426              ;100;290.00;3369.00;565.22
B;007427              ;100;284.00;2159.00;498.36
B;007428              ;100;293.00;2639.00;500.13
B;007503              ;103;297.00;2698.00;570.98
B;007504              ;100;292.00;2598.00;519.08
B;007505              ;100;284.00;1681.00;459.72
B;007506              ;101;292.00;1313.00;454.62
B;007507              ;100;292.00;2507.00;529.44
B;007508              ;100;308.00;1941.00;435.24
B;007509              ;100;304.00;1396.00;454.06
B;007555              ;99;292.00;2317.00;471.74
B;007589              ;100;298.00;1165.00;457.71
B;007590              ;99;298.00;3133.00;646.08
B;007591              ;100;287.00;1741.00;411.42
B;007592              ;100;282.00;3595.00;492.60
B;007593              ;100;303.00;3424.00;557.75
B;007594              ;100;303.00;2700.00;441.22
B;007595              ;100;302.00;2337.00;475.46
B;007596              ;100;302.00;2343.00;483.96
B;007597              ;100;292.00;2157.00;469.10
B;007678              ;100;279.00;1466.00;458.44
B;007679              ;100;286.00;2875.00;418.89
B;007680              ;99;286.00;2744.00;573.70
B;007681              ;100;290.00;2023.00;458.42
B;007682              ;100;283.00;1445.00;474.80
B;007683              ;100;286.00;2583.00;465.98
B;007771              ;100;286.00;1883.00;467.61
B;007772              ;101;286.00;2895.00;489.63
B;007773              ;100;288.00;3510.00;499.87
B;007774              ;103;285.00;2840.00;493.84
B;007775              ;98;295.00;2914.00;432.62
B;007776              ;100;293.00;1725.00;418.26
B;007777              ;100;291.00;2637.00;535.05
B;007839              ;100;290.00;2321.00;528.10
B;007840              ;100;281.00;2924.00;489.78
B;007841              ;100;286.00;2650.00;534.84
B;007842              ;100;293.00;1277.00;413.88
B;007882              ;100;301.00;1559.00;453.92
B;007883              ;100;293.00;892.00;361.11
B;007884              ;100;295.00;2971.00;497.66
B;007885              ;100;287.00;1618.00;381.72
B;007940              ;100;288.00;1249.00;387.77
B;007941              ;100;288.00;1967.00;447.74
B;007942              ;100;288.00;703.00;350.33
B;007943              ;101;289.00;2598.00;497.40
B;007944              ;100;296.00;3250.00;475.66
B;007945              ;99;288.00;2933.00;679.31
B;007946              ;100;286.00;3594.00;422.19
B;007947              ;100;298.00;2545.00;455.41
B;008031              ;99;278.00;3169.00;588.33
B;008032              ;100;279.00;3537.00;574.29
B;008033              ;100;289.00;2311.00;449.86
B;008034              ;101;292.00;3167.00;519.06
B;008035              ;99;291.00;2566.00;574.96
B;008036              ;100;291.00;3059.00;499.94
B;008114              ;100;286.00;2936.00;516.55
B;008115              ;100;287.00;2771.00;443.74
B;008116              ;100;287.00;1753.00;442.74
B;008117              ;100;287.00;3148.00;407.08
B;008118              ;100;287.00;3305.00;521.22
B;008119              ;100;290.00;1705.00;394.46
B;008120              ;100;291.00;2614.00;459.62
B;008121              ;100;292.00;1870.00;393.61
B;008185              ;100;292.00;1664.00;395.39
