TEIL;COUNT;MIN;MAX;AVG;FAILURE
A;82;347.0;29065.0;4337.20;0.04
B;929;198.0;2511537.0;16846.21;0.02
C;546;49.0;700079.0;14316.94;0.01
D;555;196.0;322808.0;6359.14;0.01
E;243;221.0;4235024.0;45157.97;0.01
F;196;181.0;256550.0;8317.71;0.01
G;290;23.0;462658.0;9550.68;0.01
H;462;213.0;360901.0;11214.12;0.01
I;331;26.0;59542.0;3060.38;0.01
K;578;230.0;321098.0;13569.02;0.02
