TEIL;LAGER;COUNT;MIN;MAX;AVG
B;000036804;100;289.00;3141.00;548.82
B;000036808;100;296.00;25295.00;1007.14
B;000036811;100;287.00;2512.00;451.76
B;000036813;99;228.00;2641.00;412.25
B;000036817;100;284.00;8512.00;711.28
B;000036822;99;241.00;5762.00;614.67
B;000037013;100;288.00;2862.00;536.53
B;000037015;100;284.00;3692.00;516.30
B;000037019;100;284.00;2625.00;611.29
B;000037021;100;285.00;372303.00;7977.78
B;000037235;101;287.00;3459.00;584.23
B;000037237;100;291.00;39383.00;1551.83
B;000037240;99;285.00;2911.00;544.40
B;000037449;100;290.00;12541.00;1029.81
B;000037452;100;287.00;25821.00;991.09
B;000037461;100;290.00;4458.00;482.58
B;000037466;100;290.00;28773.00;1185.25
B;000037468;100;288.00;26691.00;1143.17
B;000037472;100;291.00;2272.00;587.95
B;000037793;100;293.00;2677.00;521.10
B;000037795;100;288.00;27865.00;962.46
B;000037798;100;287.00;229189.00;5103.46
B;000037799;100;277.00;26440.00;1044.73
B;000037802;56;292.00;3280.00;601.74
B;000037803;44;292.00;1625.00;481.80
B;000037929;100;290.00;2716.00;498.32
B;000037931;100;287.00;2869.00;512.69
B;000038643;100;287.00;3129.00;469.57
B;000038646;100;291.00;4141.00;486.80
B;000038651;100;288.00;27833.00;1156.47
B;000038654;100;290.00;2109.00;491.36
B;000038658;100;290.00;26026.00;1001.40
B;000038660;100;287.00;3444.00;451.01
B;000039044;100;289.00;2891.00;424.98
B;000039053;99;288.00;29479.00;1137.99
B;000039056;99;289.00;4389.00;469.46
B;000039058;100;288.00;2489.00;432.92
B;000039351;100;279.00;26005.00;1134.69
B;000039354;100;292.00;10595.00;906.88
B;000039357;100;294.00;6708.00;588.13
B;000039360;102;285.00;1762.00;458.36
B;000039368;100;291.00;4262.00;767.26
B;000039723;100;287.00;229372.00;5746.96
B;000039730;100;290.00;57401.00;1693.94
B;000039736;100;293.00;25164.00;1052.40
B;000039739;102;293.00;4003.00;592.75
B;000039743;100;292.00;27675.00;1067.73
B;000039944;101;284.00;2159.00;440.35
B;000039949;100;292.00;2698.00;567.08
B;000039951;100;291.00;26215.00;988.35
B;000040150;100;304.00;7868.00;561.53
B;000040153;100;292.00;2317.00;517.82
B;000040159;99;284.00;3756.00;447.42
B;000040161;100;292.00;2507.00;517.78
B;000040164;100;306.00;25722.00;992.44
B;000040166;101;309.00;21937.00;1002.16
B;000040618;100;282.00;3595.00;519.48
B;000040621;99;287.00;2820.00;552.32
B;000040623;100;298.00;199258.00;4473.93
B;000040628;100;303.00;3424.00;528.31
B;000040629;100;303.00;2700.00;488.72
B;000040847;98;287.00;1466.00;422.83
B;000040849;100;294.00;1773.00;476.24
B;000040851;100;302.00;25646.00;936.38
B;000040854;100;291.00;3715.00;449.14
B;000040857;103;286.00;56488.00;1560.41
B;000040861;102;279.00;229655.00;4942.54
B;000041524;101;289.00;2744.00;515.70
B;000041527;101;290.00;57021.00;1603.37
B;000041681;101;288.00;2840.00;507.32
B;000041683;100;294.00;2924.00;568.47
B;000041688;100;283.00;4790.00;597.05
B;000041860;100;286.00;2895.00;542.28
B;000041863;100;286.00;858.00;385.31
B;000042127;100;286.00;26269.00;983.88
B;000042130;100;281.00;57072.00;1728.75
B;000042132;101;291.00;285651.00;6131.94
B;000042485;99;295.00;9255.00;644.60
B;000042488;100;285.00;11732.00;700.28
B;000042493;100;286.00;58482.00;1557.50
B;000042498;100;290.00;4173.00;456.24
B;000042855;101;293.00;56275.00;1522.25
B;000042861;100;295.00;3720.00;482.60
B;000042864;99;293.00;1559.00;432.41
B;000043014;100;287.00;250724.00;5432.09
B;000043017;100;295.00;2027.00;403.63
B;000043093;100;288.00;1356.00;374.58
B;000043095;100;288.00;1967.00;418.85
B;000043674;100;296.00;2933.00;463.06
B;000043677;100;289.00;26339.00;945.98
B;000043680;101;278.00;25760.00;1220.17
B;000043682;100;289.00;3250.00;511.99
B;000043684;100;286.00;2545.00;458.54
B;000043687;100;301.00;3169.00;502.30
B;000043688;99;288.00;229981.00;5275.91
B;000043690;100;285.00;25060.00;1000.30
B;000044086;100;292.00;2509.00;407.14
B;000044088;100;290.00;1705.00;394.46
B;000044090;100;287.00;31835.00;1682.67
B;000044326;100;292.00;11995.00;767.53
B;000044330;100;286.00;2936.00;494.04
B;000044332;101;291.00;2566.00;446.21
B;000044336;99;301.00;3167.00;599.89
B;000044340;99;280.00;1772.00;455.17
B;000044344;100;287.00;2771.00;449.51
B;000044345;99;287.00;31671.00;1702.66
B;000044352;100;287.00;1750.00;377.01
B;000044356;100;287.00;3148.00;461.71
B;000044650;100;287.00;199256.00;4423.40
B;000044787;100;290.00;839.00;340.58
B;000044789;101;291.00;2614.00;442.75
B;000044871;100;290.00;1316.00;403.83
B;000044872;99;290.00;1325.00;444.68
B;000044876;100;288.00;1272.00;431.57
B;000045078;99;290.00;2523.00;499.30
B;000045081;100;291.00;1931.00;442.66
B;000045087;101;278.00;25435.00;888.97
B;000045354;101;287.00;1627.00;401.33
B;000045356;100;291.00;3983.00;575.60
B;000045511;100;290.00;23595.00;833.80
B;000045515;99;290.00;24942.00;899.59
B;000045519;100;289.00;1228.00;378.38
B;000045521;100;290.00;25859.00;896.40
B;000045523;100;289.00;2382.00;440.86
B;000045746;78;290.00;3430.00;477.92
B;000045750;83;289.00;4411.00;422.53
B;000045753;99;292.00;2681.00;431.68
B;000045757;97;291.00;1940.00;426.93
B;000045968;101;290.00;22947.00;969.40
B;000045972;99;300.00;2004.00;421.89
B;000045975;102;284.00;4750.00;642.17
B;000045981;100;295.00;1855.00;489.71
B;000046186;101;293.00;4196.00;639.89
B;000046188;100;287.00;26321.00;905.09
B;000046194;100;292.00;3301.00;595.46
B;000046392;97;288.00;1810.00;371.71
B;000046394;100;287.00;2066.00;367.30
B;000046691;101;284.00;3096.00;507.63
B;000046693;100;284.00;194927.00;4224.72
B;000046696;101;291.00;6244.00;484.25
B;000046700;100;291.00;3268.00;556.75
B;000046947;100;286.00;2451.00;508.56
B;000046951;103;287.00;26684.00;910.00
B;000046954;99;209.00;1363.00;408.69
B;000046957;99;285.00;1591.00;402.30
B;000047116;100;292.00;2731.00;421.66
B;000047123;101;285.00;25847.00;942.98
B;000047124;100;300.00;200700.00;4418.96
B;000047134;99;223.00;3199.00;456.73
B;000047135;101;289.00;3013.00;499.65
B;000047406;100;295.00;27490.00;1422.77
B;000047407;100;293.00;2880.00;439.57
B;000047413;100;296.00;2892.00;483.94
B;000047415;101;300.00;114956.00;2799.95
B;000047828;100;287.00;1866.00;481.66
B;000047830;100;304.00;2718.00;532.62
B;000047834;100;227.00;1456.00;423.63
B;000047836;101;304.00;2618.00;562.94
B;000048078;100;305.00;2542.00;482.82
B;000048080;99;304.00;28524.00;871.74
B;000048084;101;287.00;2572.00;442.72
B;000048087;100;286.00;3450.00;396.83
B;000048302;100;285.00;2731.00;514.88
B;000048303;100;288.00;25598.00;933.58
B;000048305;100;288.00;2879.00;392.89
B;000048310;100;287.00;2611.00;390.13
B;000048312;100;291.00;2733.00;445.90
B;000048316;100;287.00;2235.00;507.93
B;000048499;100;279.00;2563.00;483.54
B;000048501;101;292.00;199351.00;4416.68
B;000048502;99;292.00;4513.00;533.18
B;000048759;100;287.00;2890.00;519.61
B;000048763;101;290.00;2565.00;407.53
B;000048940;100;274.00;3210.00;455.80
B;000048943;100;288.00;3128.00;529.35
B;000049094;100;291.00;3196.00;545.04
B;000049098;100;287.00;2746.00;443.57
B;000049101;100;286.00;26432.00;950.52
B;000049318;100;283.00;4843.00;640.38
B;000049322;100;291.00;2965.00;516.55
B;000049467;100;283.00;25545.00;871.59
B;000049472;100;283.00;199868.00;4344.22
B;000049475;100;287.00;3620.00;449.64
B;000049609;100;287.00;2659.00;447.55
B;000049611;100;288.00;3814.00;550.78
B;000049613;100;283.00;2470.00;420.77
B;000049617;101;283.00;2067.00;386.82
B;000049856;100;287.00;26346.00;1132.08
B;000049863;102;286.00;2892.00;521.08
B;000049867;100;291.00;2857.00;528.83
B;000049872;100;285.00;3366.00;555.13
B;000049877;100;284.00;1733.00;425.26
B;000049884;100;290.00;2501.00;507.08
B;000049888;107;286.00;25538.00;906.34
B;000050276;100;296.00;2766.00;431.54
B;000050283;100;294.00;30847.00;1160.76
B;000050285;102;291.00;2926.00;472.21
B;000050291;101;285.00;208549.00;4466.29
B;000050293;100;286.00;2567.00;489.34
B;000050305;100;285.00;209566.00;4659.64
B;000050307;101;279.00;9941.00;931.50
B;000050311;102;293.00;5858.00;777.77
B;000050389;101;294.00;28006.00;1040.85
B;000050439;100;291.00;5829.00;523.97
B;000050473;102;290.00;26311.00;1016.94
B;000050474;100;294.00;3663.00;483.23
B;000050582;101;283.00;6393.00;722.36
B;000050586;101;294.00;2036.00;553.44
B;000050591;101;297.00;3393.00;444.06
B;000051312;100;291.00;3563.00;444.05
B;000051315;102;299.00;4536.00;579.45
B;000051320;100;291.00;27625.00;999.19
B;000051323;100;289.00;202768.00;5107.83
B;000051563;100;297.00;3297.00;592.42
B;000051565;100;294.00;3471.00;495.72
B;000051570;101;287.00;4183.00;651.32
B;000051653;100;292.00;4058.00;543.36
B;000051659;101;294.00;26336.00;747.63
B;000052295;100;297.00;200623.00;4536.86
B;000052300;100;321.00;1850.00;475.16
B;000052304;101;305.00;2870.00;529.48
B;000052306;100;292.00;1943.00;527.53
B;000052315;100;306.00;27555.00;1103.59
B;000052316;100;298.00;4178.00;846.32
B;000052319;101;283.00;3000.00;428.92
B;000052322;100;282.00;4028.00;617.17
B;000052329;100;285.00;2508.00;393.02
B;000052333;100;295.00;25750.00;1068.69
B;000052337;100;303.00;27493.00;976.13
B;000052340;100;301.00;2600.00;581.91
B;000053166;100;286.00;1526.00;380.63
B;000053167;100;273.00;2186.00;444.91
B;000053170;100;303.00;2855.00;519.94
B;000053172;100;298.00;4508.00;529.46
B;000053176;100;297.00;230675.00;4987.24
B;000053543;100;299.00;3486.00;500.93
B;000053546;101;302.00;26169.00;899.65
B;000053553;100;296.00;2232.00;426.42
B;000053556;100;295.00;1976.00;442.02
B;000053560;100;289.00;3587.00;498.78
B;000053719;100;279.00;26519.00;933.19
B;000053720;100;280.00;2646.00;495.70
B;000053727;100;286.00;2602.00;373.78
B;000053733;100;280.00;1968.00;405.82
B;000053734;100;282.00;3440.00;505.09
B;000053736;100;274.00;200265.00;4489.58
B;000054083;101;282.00;2974.00;568.15
B;000054087;98;273.00;2529.00;439.49
B;000054088;102;273.00;4129.00;502.90
B;000054508;63;270.00;3064.00;469.94
B;000054512;100;283.00;2657.00;452.21
B;000054518;100;283.00;2356.00;479.35
B;000054527;96;283.00;2633.00;563.61
C;000027528;34;601.00;934653.00;55661.00
C;000027908;17;601.00;1422.00;774.59
C;000028185;100;601.00;1957.00;728.37
C;000028191;100;600.00;1906.00;700.63
C;000028195;100;602.00;25339.00;1277.51
C;000028196;100;601.00;3421.00;793.05
C;000028199;100;602.00;1432.00;681.52
C;000028257;100;600.00;2761.00;782.73
C;000028262;100;599.00;3150.00;733.15
C;000028268;100;603.00;26313.00;1235.62
C;000028282;100;598.00;25436.00;1278.19
C;000028292;100;605.00;1798.00;693.39
C;000028295;100;605.00;1897.00;721.28
C;000028520;100;607.00;5321.00;925.16
C;000028522;100;601.00;2684.00;812.21
C;000028525;100;613.00;2756.00;784.21
C;000028532;100;599.00;204847.00;4948.50
C;000028534;101;614.00;26731.00;1280.66
C;000028575;100;613.00;200224.00;4772.49
C;000028578;100;609.00;27964.00;1298.63
C;000028580;100;615.00;3426.00;833.77
C;000028583;100;603.00;2261.00;710.61
C;000028587;100;607.00;4415.00;810.25
C;000028811;100;607.00;2564.00;727.71
C;000028816;100;613.00;5541.00;842.24
C;000028817;100;609.00;1828.00;752.37
C;000028820;100;609.00;31037.00;1370.39
C;000028842;100;608.00;3135.00;793.74
C;000028848;100;612.00;2714.00;753.27
C;000028850;100;609.00;2123.00;712.30
C;000028855;100;608.00;3975.00;886.44
C;000028858;100;611.00;26988.00;1383.41
C;000028900;100;619.00;2613.00;786.47
C;000028905;100;612.00;25449.00;1251.83
C;000028921;100;615.00;2006.00;708.36
C;000029358;100;615.00;2664.00;740.19
C;000029359;100;615.00;2383.00;786.13
C;000029363;100;615.00;2605.00;773.04
C;000029379;100;618.00;1698.00;702.27
C;000029384;100;615.00;2912.00;789.74
C;000029388;100;617.00;2066.00;745.59
C;000029393;100;621.00;1213.00;689.86
C;000029425;100;614.00;2349.00;757.63
C;000029432;100;613.00;25579.00;1301.33
C;000029434;100;614.00;3383.00;798.77
C;000029553;100;616.00;2159.00;746.45
C;000029557;100;612.00;25895.00;1337.39
C;000029558;100;622.00;26537.00;1294.79
C;000029560;100;621.00;2387.00;793.58
C;000029706;100;616.00;3313.00;776.66
C;000029707;100;620.00;2647.00;843.04
C;000029709;100;622.00;2157.00;724.42
C;000029724;100;625.00;3600.00;806.50
C;000029726;100;624.00;2417.00;747.22
C;000029729;100;621.00;3551.00;819.33
C;000029732;100;625.00;2077.00;783.41
C;000029787;100;616.00;199070.00;4684.84
C;000029788;100;624.00;27058.00;1301.89
C;000029792;100;615.00;2337.00;765.95
C;000030029;100;627.00;3561.00;851.72
C;000030032;100;635.00;26062.00;1087.46
C;000030034;100;616.00;25775.00;1700.19
C;000030077;100;623.00;1426.00;705.03
C;000030079;100;622.00;3697.00;841.05
C;000030083;99;551.00;200769.00;5243.28
C;000030086;100;626.00;3565.00;891.18
C;000030092;100;623.00;5150.00;862.79
C;000030475;100;372.00;2094.00;632.26
C;000030476;100;621.00;3479.00;795.65
C;000030480;100;623.00;25438.00;1204.22
C;000030482;100;370.00;3311.00;476.46
C;000030602;100;375.00;2674.00;631.44
C;000030605;100;375.00;25358.00;955.82
C;000030609;100;617.00;2190.00;773.25
C;000030612;100;385.00;2705.00;520.18
C;000030668;100;371.00;2970.00;549.08
C;000030670;100;621.00;2690.00;865.54
C;000030678;99;311.00;1888.00;560.46
C;000030680;100;373.00;3219.00;548.52
C;000030806;100;374.00;2276.00;522.06
C;000030808;99;336.00;199311.00;4550.79
C;000030816;99;373.00;27259.00;1041.14
C;000030826;100;371.00;8066.00;635.53
C;000030835;100;374.00;2023.00;491.36
C;000030839;99;309.00;199477.00;2539.60
C;000030843;98;355.00;15961.00;874.82
C;000030844;100;375.00;10340.00;643.56
C;000030846;100;369.00;3370.00;549.75
C;000030851;100;372.00;3266.00;578.83
C;000030853;100;373.00;28829.00;1121.68
C;000030856;100;373.00;3150.00;510.52
C;000030861;100;386.00;200564.00;2564.70
C;000030954;100;379.00;5534.00;608.31
C;000030960;100;380.00;3490.00;582.22
C;000030961;102;384.00;5576.00;547.52
C;000030988;100;391.00;2515.00;556.06
C;000030998;100;373.00;2249.00;508.89
C;000031001;100;373.00;6100.00;563.78
C;000031002;100;373.00;1606.00;441.87
C;000031294;99;321.00;1448.00;536.98
C;000031297;100;381.00;26456.00;1092.14
C;000031298;100;384.00;319887.00;6890.87
C;000031300;100;386.00;25898.00;1045.95
C;000031340;100;379.00;2219.00;527.33
C;000031346;100;390.00;2892.00;602.34
C;000031348;100;379.00;25365.00;1063.56
C;000031489;100;387.00;1562.00;527.90
C;000031491;100;382.00;3130.00;554.85
C;000031494;100;392.00;2754.00;554.63
C;000031496;100;382.00;1866.00;533.89
C;000031499;100;385.00;3030.00;545.77
C;000031525;100;391.00;1984.00;583.36
C;000031528;100;386.00;6106.00;568.46
C;000031686;100;389.00;1955.00;505.75
C;000031689;100;381.00;2999.00;572.24
C;000031691;100;384.00;26281.00;1017.48
C;000031696;100;390.00;1822.00;547.11
C;000031698;100;387.00;198146.00;4459.30
C;000031718;100;394.00;2516.00;523.01
C;000031722;100;383.00;4342.00;661.81
C;000031723;100;385.00;2605.00;614.77
C;000031726;100;385.00;1795.00;506.38
C;000031729;100;386.00;2301.00;513.23
C;000031975;100;385.00;8861.00;715.12
C;000031977;100;386.00;2884.00;558.36
C;000031978;102;396.00;25091.00;991.49
C;000031986;100;393.00;2298.00;490.86
C;000032027;100;392.00;1337.00;464.89
C;000032028;100;407.00;2038.00;552.39
C;000032034;100;392.00;2619.00;547.12
C;000032036;100;394.00;3174.00;566.33
C;000032331;100;401.00;2854.00;557.39
C;000032332;100;394.00;2024.00;638.84
C;000032339;100;407.00;198848.00;4477.60
C;000032341;100;394.00;8171.00;665.50
C;000032344;100;413.00;2832.00;530.17
C;000032347;100;412.00;2346.00;537.91
C;000032349;100;420.00;2359.00;522.06
C;000032351;100;405.00;26767.00;1080.04
C;000032389;100;390.00;38439.00;1256.29
C;000032392;144;411.00;26991.00;887.42
C;000032393;100;411.00;27327.00;1107.21
C;000032396;56;406.00;1879.00;590.18
C;000032400;100;412.00;1116.00;483.78
C;000032739;100;409.00;1876.00;550.15
C;000032740;100;400.00;1917.00;552.94
C;000032743;100;410.00;3120.00;623.10
C;000032745;100;419.00;25887.00;1081.73
C;000032748;101;422.00;25761.00;1085.70
C;000032751;101;421.00;3344.00;605.26
C;000032753;99;419.00;1124.00;505.15
C;000032756;100;418.00;3319.00;566.01
C;000032770;100;406.00;1975.00;513.86
C;000032775;100;413.00;3805.00;573.83
C;000032781;100;412.00;2408.00;543.25
C;000032785;101;423.00;4815.00;772.02
C;000032793;100;412.00;199892.00;4608.22
C;000032796;100;416.00;4163.00;572.27
C;000033106;100;421.00;3174.00;616.48
C;000033107;100;423.00;2502.00;611.19
C;000033110;100;401.00;27843.00;850.18
C;000033111;100;428.00;4330.00;611.30
C;000033113;100;420.00;7269.00;676.82
C;000033118;100;431.00;3210.00;575.18
C;000033119;100;430.00;3580.00;622.67
C;000033123;99;434.00;5474.00;647.49
C;000033146;100;426.00;3412.00;608.23
C;000033148;100;431.00;5640.00;600.27
C;000033151;100;423.00;2722.00;649.63
C;000033154;99;436.00;26273.00;1436.07
C;000033157;100;444.00;205236.00;4810.67
C;000033159;100;418.00;3670.00;590.54
C;000033160;100;428.00;4665.00;625.55
C;000033164;100;422.00;4105.00;621.63
C;000033656;100;444.00;7835.00;906.56
C;000033660;100;425.00;2679.00;571.61
C;000033663;100;433.00;28611.00;1293.74
C;000033685;100;422.00;200347.00;4491.38
C;000033691;100;449.00;10518.00;947.62
C;000033692;100;444.00;4937.00;644.35
C;000033696;100;444.00;2269.00;605.92
C;000033880;100;297.00;5624.00;712.23
C;000033886;101;439.00;24219.00;1289.39
C;000033887;100;443.00;28264.00;1149.26
C;000033890;101;460.00;2282.00;628.84
C;000033893;100;454.00;26018.00;1174.22
C;000033928;100;463.00;2753.00;639.96
C;000033930;100;469.00;3501.00;772.66
C;000033935;100;454.00;25195.00;1085.21
C;000033937;100;469.00;8128.00;821.52
C;000034413;102;296.00;231530.00;5031.34
C;000034420;100;451.00;143816.00;3562.19
C;000034422;100;450.00;30431.00;1313.96
C;000034426;100;476.00;27744.00;1143.27
C;000034429;100;460.00;3587.00;715.10
C;000034434;100;457.00;1964.00;613.61
C;000034436;100;464.00;25657.00;965.95
C;000034438;100;460.00;2435.00;592.58
C;000034671;100;465.00;2832.00;715.60
C;000034673;100;474.00;4825.00;713.14
C;000034678;100;468.00;25994.00;905.32
C;000034693;96;454.00;2167.00;560.51
C;000034698;96;453.00;58510.00;1842.08
C;000034711;100;475.00;8716.00;767.49
C;000034712;100;475.00;1755.00;605.01
C;000034841;100;469.00;27464.00;878.24
C;000034847;109;461.00;12348.00;1031.34
C;000034848;91;469.00;1780786.00;20150.62
C;000034849;100;471.00;1833.00;581.98
C;000034861;100;457.00;2346.00;634.16
C;000034865;100;473.00;26426.00;1097.72
C;000034867;100;471.00;5466.00;702.12
C;000034872;100;473.00;8451.00;940.13
C;000035109;100;476.00;27123.00;926.29
C;000035114;100;478.00;4279.00;676.75
C;000035118;100;480.00;2193.00;620.45
C;000035121;100;479.00;3929.00;697.85
C;000035150;100;473.00;202236.00;4699.99
C;000035153;100;472.00;2481.00;582.88
C;000035578;100;482.00;24973.00;1160.13
C;000035580;100;479.00;25109.00;1119.57
C;000035581;100;471.00;3458.00;657.36
C;000035900;100;478.00;2717.00;666.00
C;000035901;100;479.00;2759.00;626.27
C;000035908;100;478.00;3231.00;603.65
C;000035911;100;480.00;2265.00;573.00
C;000035913;100;470.00;5093.00;857.23
C;000036066;100;480.00;11351.00;848.87
C;000036070;97;477.00;26792.00;1211.86
C;000036073;100;494.00;2024.00;658.39
C;000036075;100;461.00;1505.00;569.97
C;000036080;100;487.00;2464.00;644.74
C;000036189;100;483.00;3837.00;604.07
C;000036196;100;494.00;200407.00;2657.92
C;000036198;100;480.00;24923.00;1077.43
C;000036201;100;495.00;4907.00;694.68
C;000036203;100;487.00;27107.00;1221.18
C;000036205;100;483.00;4040.00;781.24
C;000036207;100;482.00;4018.00;714.12
C;000036377;103;500.00;25375.00;1129.16
C;000036380;100;500.00;3296.00;650.46
C;000036385;97;499.00;2241.00;666.01
C;000036688;100;467.00;3096.00;712.40
C;000036692;103;501.00;4817.00;716.63
C;000036694;102;512.00;2520.00;723.25
C;000036697;100;488.00;2600.00;628.24
C;000036699;100;511.00;4057.00;731.61
C;000036701;100;500.00;2493.00;638.96
C;000036732;100;498.00;2408.00;631.09
C;000036735;100;493.00;1949.00;649.17
C;000036737;100;486.00;200147.00;2623.61
C;000036740;100;492.00;25917.00;1138.40
C;000036743;102;500.00;1637.00;598.41
C;000036745;98;501.00;3443.00;622.95
